Item_Description,Item_Code,Pkg_Name,Source_Equip_Item,Alternative item names
Pipette filler,258,,Malawi HSSPIII Equipment Costing 2023,
"Fridge, Domestic",259,,Malawi HSSPIII Equipment Costing 2023,'Domestic Fridge'
Slide storage box,260,,Malawi HSSPIII Equipment Costing 2023,'Slide storage boxes'
Sample roller mixer ,261,,Malawi HSSPIII Equipment Costing 2023,
Automatic staining machine,262,,Malawi HSSPIII Equipment Costing 2023,
Dispensing pumps for culture media preparation,263,,Malawi HSSPIII Equipment Costing 2023,
Automated blood culture systems,264,,Malawi HSSPIII Equipment Costing 2023,
Magnetic Stirrer ,265,,Malawi HSSPIII Equipment Costing 2023,"'Magnetic Stirer', 'Magnetic Induction Stirrers'"
Sensitivity disc dispenser,266,,Malawi HSSPIII Equipment Costing 2023,
Oven (dryer),267,,Malawi HSSPIII Equipment Costing 2023,
Hot plate,268,,Malawi HSSPIII Equipment Costing 2023,
Gene Expert (16 Module),269,,Malawi HSSPIII Equipment Costing 2023,
Burnsen Burner,270,,Malawi HSSPIII Equipment Costing 2023,
Blood culture rack,271,,Malawi HSSPIII Equipment Costing 2023,
Distiller,272,,Malawi HSSPIII Equipment Costing 2023,"'Distiller, Water, 4L/Hr'"
Led Microscope,273,,Malawi HSSPIII Equipment Costing 2023,
Electron Microscope,274,,Malawi HSSPIII Equipment Costing 2023,
Conventional PCR Equipment set,275,,Malawi HSSPIII Equipment Costing 2023,
Thermal Mixer,276,,Malawi HSSPIII Equipment Costing 2023,
Heat Blocks,277,,Malawi HSSPIII Equipment Costing 2023,
DNA Sequencer,278,,Malawi HSSPIII Equipment Costing 2023,
"Ultrasound, combined 2/4 pole interferential with vacuum and dual frequency 1-3MHZ",279,,Malawi HSSPIII Equipment Costing 2023,'Combined 2/4 pole interferential with vacuum and dual frequency 1-3MHZ ultrasound'
Combined Wax Sterizer & Wax bath 15 litres,280,,Malawi HSSPIII Equipment Costing 2023,
Tunturi E420 Ergometer,281,,Malawi HSSPIII Equipment Costing 2023,
Solitude 11 Platinum Treadmill,282,,Malawi HSSPIII Equipment Costing 2023,
Mega Pulse Senior 265,283,,Malawi HSSPIII Equipment Costing 2023,
Hot Pack Therapy Units,284,,Malawi HSSPIII Equipment Costing 2023,
Voltage Regulators,285,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,
Infrared stand,286,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,
TENs Unit,287,,Malawi HSSPIII Equipment Costing 2023,
Muscle stimulator,288,,Malawi HSSPIII Equipment Costing 2023,
Lumber & Cervical Traction Units,289,,Malawi HSSPIII Equipment Costing 2023,
3D Thumb,290,Casting,Malawi HSSPIII Equipment Costing 2023,
MVA Set,291,,Malawi HSSPIII Equipment Costing 2023,
"Lamp, examination",292,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,'Examination lamp'
Resuscitaire,293,,Malawi HSSPIII Equipment Costing 2023,
Nasal Prongs,294,,Malawi HSSPIII Equipment Costing 2023,
Dual ergometer,295,,Malawi HSSPIII Equipment Costing 2023,'Dual Egormeter'
Rehabilitation wall bars,296,,Malawi HSSPIII Equipment Costing 2023,
Sims’ Speculum,297,,Malawi HSSPIII Equipment Costing 2023,"'Simms Speculum', 'Vaginal retractors'"
Cystoscope,298,,Malawi HSSPIII Equipment Costing 2023,
Cryotherapy unit,299,,Malawi HSSPIII Equipment Costing 2023,
LLETZ Machines ,300,,Malawi HSSPIII Equipment Costing 2023,
Stationery bicycles,301,,Malawi HSSPIII Equipment Costing 2023,
Treadmill,302,,Malawi HSSPIII Equipment Costing 2023,
Wobble mat,303,,Malawi HSSPIII Equipment Costing 2023,'Wable mat'
Sets of sand bags,304,,Malawi HSSPIII Equipment Costing 2023,'sand bags (Sets of 0.5kg -15kgs)'
Knee continuous range of motion machine,305,,Malawi HSSPIII Equipment Costing 2023,
Vacuum system,306,,Malawi HSSPIII Equipment Costing 2023,
Slide drying rack,307,,Malawi HSSPIII Equipment Costing 2023,'Slide Drier Rack'
Air Extractor,308,,Malawi HSSPIII Equipment Costing 2023,
Applicator sticks jar,309,,Malawi HSSPIII Equipment Costing 2023,
Skin snips equipment set,310,,Malawi HSSPIII Equipment Costing 2023,
Staining Jars,311,,Malawi HSSPIII Equipment Costing 2023,'Couplin Staining Jars'
Developmental milestone chats,312,,Malawi HSSPIII Equipment Costing 2023,
Wedges of various shapes,313,,Malawi HSSPIII Equipment Costing 2023,
Rolls of various sizes and shapes,314,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Standing board,315,,Malawi HSSPIII Equipment Costing 2023,'Standing Boards'
Cerebral Palsy (CP) chair,316,,Malawi HSSPIII Equipment Costing 2023,
Corner seat,317,,Malawi HSSPIII Equipment Costing 2023,
Bulk stores ,318,,Malawi HSSPIII Equipment Costing 2023,
"Room heater, electric, wall mounted",319,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,'Wall mounted Heaters'
"Incubator, infant",320,,Malawi HSSPIII Equipment Costing 2023,
"Phototherapy unit, infant, with accessories",321,,Malawi HSSPIII Equipment Costing 2023,
"Resuscitator, manual, infant",322,,Malawi HSSPIII Equipment Costing 2023,
HSG set,323,,Malawi HSSPIII Equipment Costing 2023,
Urethrogram set,324,,Malawi HSSPIII Equipment Costing 2023,
Intravenous Pyrography set,325,,Malawi HSSPIII Equipment Costing 2023,
Bone Densitometry,326,,Malawi HSSPIII Equipment Costing 2023,
Posters,327,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,
Vices,328,,Malawi HSSPIII Equipment Costing 2023,
Steel rods,329,,Malawi HSSPIII Equipment Costing 2023,'Steel rodes'
Mixing bowls,330,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Spatula,331,,Malawi HSSPIII Equipment Costing 2023,'Spatular'
Blades,332,"Minor Surgery, Major Surgery",Malawi HSSPIII Equipment Costing 2023,
Surforms,333,,Malawi HSSPIII Equipment Costing 2023,'Surfoms'
Sample Rack,334,,Malawi HSSPIII Equipment Costing 2023,
"Tray, Sample",335,,Malawi HSSPIII Equipment Costing 2023,'Sample Trays'
ELISA (automated),336,,Malawi HSSPIII Equipment Costing 2023,'ELISA  (automated)'
ELISA (Semi Automated),337,,Malawi HSSPIII Equipment Costing 2023,'ELISA  (Semi Automated)'
ELISA Plate washer,338,,Malawi HSSPIII Equipment Costing 2023,
ELISA Reader,339,,Malawi HSSPIII Equipment Costing 2023,
Flow Cytometer,340,,Malawi HSSPIII Equipment Costing 2023,Flowcytometry
CD4 Point of Care ,341,,Malawi HSSPIII Equipment Costing 2023,
Adaptive communication switches (Infrared switches),342,,Malawi HSSPIII Equipment Costing 2023,'Adaptive communication switches (Infrared swiches)'
Sound measuring apparatus/decibel meter,343,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Diagnostic stroboscopes,344,,Malawi HSSPIII Equipment Costing 2023,
Tablet computer,345,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Voice synthesizer,346,,Malawi HSSPIII Equipment Costing 2023,
Analytical software,347,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,
Medical software,348,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Office software,349,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,
"Speech therapy kit (Kazoo, toobaloo head set, toobaloo, pustefix bubble bear)",350,,Malawi HSSPIII Equipment Costing 2023,
Picture flash cards,351,,Malawi HSSPIII Equipment Costing 2023,'Verbs flash cards'
Bed sheets,352,"In-patients, General_FacilityLevel_2",Malawi HSSPIII Equipment Costing 2023,'Large Bed Sheets'
Shelves,353,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Wiper holder,354,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Static digital accessories,355,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Radiation Survey meter,356,,Malawi HSSPIII Equipment Costing 2023,'Radiaton Survey meter'
Quality control kit (radiology),357,,Malawi HSSPIII Equipment Costing 2023,
Static digital,358,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Lead glove protective x-ray pair,359,X-ray,Malawi HSSPIII Equipment Costing 2023,'Glove protective x-ray pair'
Lead gonad shields,360,,Malawi HSSPIII Equipment Costing 2023,
Lead thyroid shield,361,,Malawi HSSPIII Equipment Costing 2023,
Lead google,362,,Malawi HSSPIII Equipment Costing 2023,
exer,363,,Malawi HSSPIII Equipment Costing 2023,'Thin mattress'
Intravenous Pyelography set,364,,Malawi HSSPIII Equipment Costing 2023,
"Oxygen cylinder, with regulator",365,ICU,Malawi HSSPIII Equipment Costing 2023,'Oxygen cylinder'
"Sterilizing unit, steam, non vacuum, vertical, electric, medium, 39 ltr",366,,Malawi HSSPIII Equipment Costing 2023,
Resuscitator,367,,Malawi HSSPIII Equipment Costing 2023,
Computer set,368,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,"'Computer set, desktop, 'Computer, printer', 'Computer with printer'"
Laptop,369,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,
Backsplit cotton gown,370,"In-patient, General_FacilityLevel_2",Malawi HSSPIII Equipment Costing 2023,
Bulk stores,371,General_FacilityLevel_2,Malawi HSSPIII Equipment Costing 2023,
Sphygmomanometer,372,,Malawi HSSPIII Equipment Costing 2023,"'Syphygmomanometer', 'Sphygmomamometer'"
Exercise ball,373,,Malawi HSSPIII Equipment Costing 2023,'Exercise balls'
Wobble board,374,,Malawi HSSPIII Equipment Costing 2023,'Wable board'
Stationary bike,375,,Malawi HSSPIII Equipment Costing 2023,
Paediatric mat,376,,Malawi HSSPIII Equipment Costing 2023,'Paeditric mat'
Mirror,377,"General_FacilityLevel_2, General_FacilityLevel_1a_and_1b",Malawi HSSPIII Equipment Costing 2023,"'Wall mirrors (2m x 0.5m)', 'Mirrors', 'wall mounted mirror'"
Tilt table,378,,Malawi HSSPIII Equipment Costing 2023,"'Paediatric Tilt table', 'Paediatrics tilt table', 'Variable Height Tilt Kit'"
Overhead pulley,379,,Malawi HSSPIII Equipment Costing 2023,'Overhead pulleys'
Dumb bells (Sets of 0.5kg - 15kgs),380,,Malawi HSSPIII Equipment Costing 2023,'Dumb bells (Sets of 0.5kg  - 15kgs)'
Training stairs,381,,Malawi HSSPIII Equipment Costing 2023,
Interferential therapy machine,382,,Malawi HSSPIII Equipment Costing 2023,
Transcutaneous electrical neuromuscular stimulation,383,,Malawi HSSPIII Equipment Costing 2023,'Transcutaneous electrical neuromascular stimulation'
Walking Frame,384,,Malawi HSSPIII Equipment Costing 2023,'Walking frames'
Lumber/Cervical Traction,385,,Malawi HSSPIII Equipment Costing 2023,
Preacher's Table,386,,Malawi HSSPIII Equipment Costing 2023,'Preachers table'
Stress Ball,387,,Malawi HSSPIII Equipment Costing 2023,'Squeezing Balls'
Patient Transfer Aid,388,"In-patient, General_FacilityLevel_2",Malawi HSSPIII Equipment Costing 2023,"'Sara stedy Patient Transfer Aid', 'Sara stady patient transifer aid', 'Etac Turner PRO sit-to-Stand Patient Transfer turning point', 'Etac turner Pro sit to stand patient transifer turning aid'"
Gym mat,389,,Malawi HSSPIII Equipment Costing 2023,
Development milestone charts,390,,Malawi HSSPIII Equipment Costing 2023,
"Pillow, wedge",391,In-patient,Malawi HSSPIII Equipment Costing 2023,'Wedge pillow'
"Pillow, roll",392,In-patient,Malawi HSSPIII Equipment Costing 2023,'Roll pillow'
Paediatric Standing frame,393,,Malawi HSSPIII Equipment Costing 2023,
Paediatric CP Chair,394,,Malawi HSSPIII Equipment Costing 2023,
Paediatric Corner sit,395,,Malawi HSSPIII Equipment Costing 2023,
Paediatric rollator,396,,Malawi HSSPIII Equipment Costing 2023,'Padiatric rollator'
Bobath bed,397,In-patients,Malawi HSSPIII Equipment Costing 2023,'Bobath beds'
Wobble mat ,398,,Malawi HSSPIII Equipment Costing 2023,
Walking Cane,399,,Malawi HSSPIII Equipment Costing 2023,'Walking canes'
Knee continuous passive motion machine,400,,Malawi HSSPIII Equipment Costing 2023,'Knee continous passive motion machine'
Shoulder wheel,401,,Malawi HSSPIII Equipment Costing 2023,
Endoscope,402,,Malawi standard treatment guidelines 2023 (final draft),
Electrocardiogram,403,,Malawi standard treatment guidelines 2023 (final draft),
