ADMIN1,District,Year,Endemicity,MDA_scheme,PopReq_SAC,PopTrg_SAC,PopTreat_SAC,Cov_SAC,EpiCov_SAC,PopReq_Adults,PopTrg_Adults,PopTreat_Adults,Cov_Adults,EpiCov_Adults,PopReq_Total,PopTrg_Total,PopTreat_Total,Cov_Total,EpiCov_Total,Cov_PSAC,EpiCov_PSAC,param_label
Southern,Balaka,2018,Moderate prevalence (10%-49%),PZQ+ALB/MBD,58575,135150,110918,0.8207,1.8936,45338,23799,20658,0.868,0.4556,103913,158949,131576,0.8278,1.2662,0,0,calibration data
Southern,Blantyre,2018,Moderate prevalence (10%-49%),PZQ+ALB/MBD,190348,353198,307913,0.8718,1.6176,147330,226466,198336,0.8758,1.3462,337678,579664,506249,0.8733,1.4992,0,0,calibration data
Southern,Chikwawa,2018,High prevalence (50% and above),PZQ+ALB/MBD,156860,173501,128091,0.7383,0.8166,303528,150794,77717,0.5154,0.256,460388,324295,205808,0.6346,0.447,0,0,calibration data
Southern,Chiradzulu,2018,Moderate prevalence (10%-49%),PZQ+ALB/MBD,45295,104063,90932,0.8738,2.0076,35058,34247,30904,0.9024,0.8815,80353,138310,121836,0.8809,1.5163,0,0,calibration data
Southern,Machinga,2018,High prevalence (50% and above),PZQ+ALB/MBD,179330,343292,320630,0.934,1.7879,347007,233869,225990,0.9663,0.6513,526337,577161,546620,0.9471,1.0385,0,0,calibration data
Southern,Mangochi,2018,High prevalence (50% and above),PZQ+ALB/MBD,287477,314744,231124,0.7343,0.804,556274,326830,243710,0.7457,0.4381,843751,641574,474834,0.7401,0.5628,0,0,calibration data
Southern,Mulanje,2018,High prevalence (50% and above),PZQ+ALB/MBD,162752,380315,276504,0.727,1.6989,314928,400136,285342,0.7131,0.9061,477680,780451,561846,0.7199,1.1762,0,0,calibration data
Southern,Mwanza,2018,Moderate prevalence (10%-49%),PZQ+ALB/MBD,15838,46125,34782,0.7541,2.1961,12259,37499,27044,0.7212,2.2061,28097,83624,61826,0.7393,2.2005,0,0,calibration data
Southern,Neno,2018,Moderate prevalence (10%-49%),PZQ+ALB/MBD,22944,46918,40653,0.8665,1.7718,17759,11355,9883,0.8704,0.5565,40703,58273,50536,0.8672,1.2416,0,0,calibration data
Southern,Nsanje,2018,High prevalence (50% and above),PZQ+ALB/MBD,81964,100381,90498,0.9015,1.1041,158602,113344,99711,0.8797,0.6287,240566,213725,190209,0.89,0.7907,0,0,calibration data
Southern,Phalombe,2018,High prevalence (50% and above),PZQ+ALB/MBD,108968,142502,122126,0.857,1.1208,210854,23431,21562,0.9202,0.1023,319822,165933,143688,0.8659,0.4493,0,0,calibration data
Southern,Thyolo,2018,Moderate prevalence (10%-49%),PZQ+ALB/MBD,102283,199255,174679,0.8767,1.7078,79168,46379,39211,0.8454,0.4953,181451,245634,213890,0.8708,1.1788,0,0,calibration data
Southern,Zomba,2018,High prevalence (50% and above),PZQ+ALB/MBD,233172,244500,221780,0.9071,0.9511,451191,100910,87346,0.8656,0.1936,684363,345410,309126,0.895,0.4517,0,0,calibration data
Northern,Mzimba,2018,Moderate prevalence (10%-49%),PZQ+ALB/MBD,167032,322947,272730,0.8584,1.6408,129284,109342,103006,0.9415,0.8156,296317,432289,375736,0.87655,1.2808,0,0,calibration data
Central,Lilongwe City,2018,Moderate prevalence (10%-49%),PZQ+ALB/MBD,372340,765439,635446,0.8302,1.7066,288194,245881,220174,0.8954,0.764,660534,1011320,855620,0.846,1.2953,0,0,calibration data
Southern,Blantyre City,2018,Moderate prevalence (10%-49%),PZQ+ALB/MBD,190348,353198,307913,0.8718,1.6176,147330,226466,198336,0.8758,1.3462,337678,579664,506249,0.8733,1.4992,0,0,calibration data
Northern,Mzuzu City,2018,Moderate prevalence (10%-49%),PZQ+ALB/MBD,167032,322947,272730,0.8584,1.6408,129284,109342,103006,0.9415,0.8156,296317,432289,375736,0.87655,1.2808,0,0,calibration data
Southern,Zomba City,2018,High prevalence (50% and above),PZQ+ALB/MBD,233172,244500,221780,0.9071,0.9511,451191,100910,87346,0.8656,0.1936,684363,345410,309126,0.895,0.4517,0,0,calibration data
Central,Dedza,2017,High prevalence (50% and above),PZQ+ALB/MBD,204956,182710,172796,0.9457,0.8431,396594,34994,32008,0.9147,0.0807,601550,217704,204804,0.9407,0.3405,0,0,calibration data
Central,Dowa,2017,Moderate prevalence (10%-49%),PZQ+ALB/MBD,104416,159196,133352,0.8377,1.2771,80819,21516,17258,0.8021,0.2135,185236,180712,150610,0.8334,0.8131,0,0,calibration data
Central,Kasungu,2017,High prevalence (50% and above),PZQ+ALB/MBD,226698,211556,188733,0.8921,0.8325,438664,30984,28578,0.9223,0.0651,665362,242540,217311,0.896,0.3266,0,0,calibration data
Central,Lilongwe,2017,Moderate prevalence (10%-49%),PZQ+ALB/MBD,342222,240864,282817,1.1742,0.8264,264882,52820,63544,1.203,0.2399,607104,293684,346361,1.1794,0.5705,0,0,calibration data
Central,Mchinji,2017,Moderate prevalence (10%-49%),PZQ+ALB/MBD,81140,143186,122583,0.8561,1.5108,62803,14798,12936,0.8742,0.206,143942,157984,135519,0.8578,0.9415,0,0,calibration data
Central,Nkhotakota,2017,Moderate prevalence (10%-49%),PZQ+ALB/MBD,52437,102880,88519,0.8604,1.6881,40587,19905,17186,0.8634,0.4234,93024,122785,105705,0.8609,1.1363,0,0,calibration data
Central,Ntcheu,2017,Moderate prevalence (10%-49%),PZQ+ALB/MBD,79478,140766,114584,0.814,1.4417,61517,25662,19785,0.771,0.3216,140995,166428,134369,0.8074,0.953,0,0,calibration data
Central,Ntchisi,2017,Moderate prevalence (10%-49%),PZQ+ALB/MBD,39420,74352,60082,0.8081,1.5241,30512,8148,6866,0.8427,0.225,69932,82500,66948,0.8115,0.9573,0,0,calibration data
Central,Salima,2017,Moderate prevalence (10%-49%),PZQ+ALB/MBD,58051,100661,87862,0.8729,1.5135,44932,17749,15019,0.8462,0.3343,102983,118410,102881,0.8689,0.999,0,0,calibration data
Likoma,Likoma,2017,High prevalence (50% and above),Not delivered,2977,0,0,0,0,5761,0,0,0,0,8738,0,0,0,0,0,0,calibration data
Northern,Chitipa,2017,Moderate prevalence (10%-49%),PZQ+ALB/MBD,30108,30108,59207,1.9665,1.9665,23304,23304,8139,0.3493,0.3493,53413,53413,67346,1.2609,1.2609,0,0,calibration data
Northern,Karonga,2017,Moderate prevalence (10%-49%),PZQ+ALB/MBD,46635,97121,83463,0.8594,1.7897,36096,18882,15117,0.8006,0.4188,82731,116003,98580,0.8498,1.1916,0,0,calibration data
Northern,Nkhata Bay,2017,Moderate prevalence (10%-49%),PZQ+ALB/MBD,37154,89167,73727,0.8268,1.9844,28757,34108,26231,0.7691,0.9122,65911,123275,99958,0.8109,1.5166,0,0,calibration data
Northern,Rumphi,2017,Moderate prevalence (10%-49%),PZQ+ALB/MBD,28951,54904,48498,0.8833,1.6752,22408,8112,6620,0.8161,0.2954,51359,63016,55118,0.8747,1.0732,0,0,calibration data
Southern,Balaka,2017,Moderate prevalence (10%-49%),PZQ+ALB/MBD,54734,115859,100519,0.8676,1.8365,42365,14008,12126,0.8656,0.2862,97099,129867,112645,0.8674,1.1601,0,0,calibration data
Southern,Blantyre,2017,Moderate prevalence (10%-49%),PZQ+ALB/MBD,176751,314988,300124,0.9528,1.698,136807,55220,48486,0.8781,0.3544,313558,370208,348610,0.9417,1.1118,0,0,calibration data
Southern,Chikwawa,2017,High prevalence (50% and above),PZQ+ALB/MBD,147794,136947,113546,0.8291,0.7683,285983,18771,15196,0.8095,0.0531,433777,155718,128742,0.8268,0.2968,0,0,calibration data
Southern,Chiradzulu,2017,Moderate prevalence (10%-49%),PZQ+ALB/MBD,44778,58803,81365,1.3837,1.8171,34659,64694,11510,0.1779,0.3321,79437,123497,92875,0.752,1.1692,0,0,calibration data
Southern,Machinga,2017,High prevalence (50% and above),PZQ+ALB/MBD,168160,148115,135028,0.9116,0.803,325393,21868,21593,0.9874,0.0664,493553,169983,156621,0.9214,0.3173,0,0,calibration data
Southern,Mangochi,2017,High prevalence (50% and above),PZQ+ALB/MBD,280041,194480,169572,0.8719,0.6055,541885,31900,31162,0.9769,0.0575,821926,226380,200734,0.8867,0.2442,0,0,calibration data
Southern,Mulanje,2017,High prevalence (50% and above),PZQ+ALB/MBD,161107,165287,138633,0.8387,0.8605,311746,28677,22556,0.7866,0.0724,472853,193964,161189,0.831,0.3409,0,0,calibration data
Southern,Mwanza,2017,Moderate prevalence (10%-49%),PZQ+ALB/MBD,14624,39277,33648,0.8567,2.3008,11319,5080,4122,0.8114,0.3642,25944,44357,37770,0.8515,1.4558,0,0,calibration data
Southern,Neno,2017,Moderate prevalence (10%-49%),PZQ+ALB/MBD,20506,41090,34433,0.838,1.6791,15872,5978,4455,0.7452,0.2807,36378,47068,38888,0.8262,1.069,0,0,calibration data
Southern,Nsanje,2017,High prevalence (50% and above),PZQ+ALB/MBD,81212,76755,64430,0.8394,0.7934,157147,12397,10158,0.8194,0.0646,238359,89152,74588,0.8366,0.3129,0,0,calibration data
Southern,Phalombe,2017,High prevalence (50% and above),PZQ+ALB/MBD,103878,117358,96043,0.8184,0.9246,201005,12417,9426,0.7591,0.0469,304883,129775,105469,0.8127,0.3459,0,0,calibration data
Southern,Thyolo,2017,Moderate prevalence (10%-49%),PZQ+ALB/MBD,90255,171636,148023,0.8624,1.6401,69858,20920,17215,0.8229,0.2464,160113,192556,165238,0.8581,1.032,0,0,calibration data
Southern,Zomba,2017,High prevalence (50% and above),PZQ+ALB/MBD,222212,204379,185396,0.9071,0.8343,429983,33473,27738,0.8287,0.0645,652195,237852,213134,0.8961,0.3268,0,0,calibration data
Northern,Mzimba,2017,Moderate prevalence (10%-49%),PZQ+ALB/MBD,153743,276380,267813,0.9669,1.73725,118997,51635,53696,1.15195,0.45045,272740,328015,321509,0.97725,1.1758,0,0,calibration data
Central,Lilongwe City,2017,Moderate prevalence (10%-49%),PZQ+ALB/MBD,342222,240864,282817,1.1742,0.8264,264882,52820,63544,1.203,0.2399,607104,293684,346361,1.1794,0.5705,0,0,calibration data
Southern,Blantyre City,2017,Moderate prevalence (10%-49%),PZQ+ALB/MBD,176751,314988,300124,0.9528,1.698,136807,55220,48486,0.8781,0.3544,313558,370208,348610,0.9417,1.1118,0,0,calibration data
Northern,Mzuzu City,2017,Moderate prevalence (10%-49%),PZQ+ALB/MBD,153743,276380,267813,0.9669,1.73725,118997,51635,53696,1.15195,0.45045,272740,328015,321509,0.97725,1.1758,0,0,calibration data
Southern,Zomba City,2017,High prevalence (50% and above),PZQ+ALB/MBD,222212,204379,185396,0.9071,0.8343,429983,33473,27738,0.8287,0.0645,652195,237852,213134,0.8961,0.3268,0,0,calibration data
Central,Dedza,2016,High prevalence (50% and above),PZQ+ALB/MBD,199093,199093,171664,0.8622,0.8622,385248,44888,81429,1.814,0.2114,584341,44888,253093,5.6383,0.4331,0,0,calibration data
Central,Dowa,2016,Moderate prevalence (10%-49%),PZQ+ALB/MBD,101430,101430,145597,1.4355,1.4355,78507,25292,25292,1,0.3222,179937,25292,170889,6.7566,0.9497,0,0,calibration data
Central,Kasungu,2016,High prevalence (50% and above),PZQ+ALB/MBD,220213,220213,243702,1.1067,1.1067,426115,133431,85771,0.6428,0.2013,646328,133431,329473,2.4692,0.5098,0,0,calibration data
Central,Lilongwe,2016,Moderate prevalence (10%-49%),PZQ+ALB/MBD,332432,332432,571768,1.72,1.72,257305,461038,317345,0.6883,1.2333,589738,461038,889113,1.9285,1.5076,0,0,calibration data
Central,Mchinji,2016,Moderate prevalence (10%-49%),PZQ+ALB/MBD,78818,78818,125383,1.5908,1.5908,61006,67215,53959,0.8028,0.8845,139824,67215,179342,2.6682,1.2826,0,0,calibration data
Central,Nkhotakota,2016,Moderate prevalence (10%-49%),PZQ+ALB/MBD,50937,50937,122242,2.3999,2.3999,39426,70130,70130,1,1.7788,90363,70130,192372,2.7431,2.1289,0,0,calibration data
Central,Ntcheu,2016,Moderate prevalence (10%-49%),PZQ+ALB/MBD,77204,77204,157229,2.0365,2.0365,59757,81368,75832,0.932,1.269,136961,81368,233061,2.8643,1.7017,0,0,calibration data
Central,Ntchisi,2016,Moderate prevalence (10%-49%),PZQ+ALB/MBD,38292,38292,64685,1.6892,1.6892,29639,10684,8491,0.7947,0.2865,67931,10684,73176,6.8491,1.0772,0,0,calibration data
Central,Salima,2016,Moderate prevalence (10%-49%),PZQ+ALB/MBD,56390,56390,97589,1.7306,1.7306,43646,156401,70470,0.4506,1.6146,100036,156401,168059,1.0745,1.68,0,0,calibration data
Likoma,Likoma,2016,High prevalence (50% and above),PZQ+ALB/MBD,2892,2892,3258,1.1266,1.1266,5596,1178,1002,0.8506,0.1791,8488,1178,4260,3.6163,0.5019,0,0,calibration data
Northern,Chitipa,2016,Moderate prevalence (10%-49%),PZQ+ALB/MBD,29247,29247,55929,1.9123,1.9123,22637,15533,14902,0.9594,0.6583,51884,15533,70831,4.56,1.3652,0,0,calibration data
Northern,Karonga,2016,Moderate prevalence (10%-49%),PZQ+ALB/MBD,45301,45301,84238,1.8595,1.8595,35063,47025,43375,0.9224,1.237,80364,47025,127613,2.7137,1.5879,0,0,calibration data
Northern,Nkhata Bay,2016,Moderate prevalence (10%-49%),PZQ+ALB/MBD,36090,36090,74031,2.0513,2.0513,27934,57312,46398,0.8096,1.661,64025,57312,120429,2.1013,1.881,0,0,calibration data
Northern,Rumphi,2016,Moderate prevalence (10%-49%),PZQ+ALB/MBD,28123,28123,48406,1.7212,1.7212,21767,27609,23582,0.8541,1.0834,49890,27609,71988,2.6074,1.4429,0,0,calibration data
Southern,Balaka,2016,Moderate prevalence (10%-49%),PZQ+ALB/MBD,53168,53168,88553,1.6655,1.6655,41153,12654,9993,0.7897,0.2428,94321,12654,98546,7.7877,1.0448,0,0,calibration data
Southern,Blantyre,2016,Moderate prevalence (10%-49%),PZQ+ALB/MBD,171695,171695,273618,1.5936,1.5936,132893,161394,138118,0.8558,1.0393,304588,161394,411736,2.5511,1.3518,0,0,calibration data
Southern,Chikwawa,2016,High prevalence (50% and above),PZQ+ALB/MBD,143565,143565,175975,1.2258,1.2258,277802,359710,57697,0.1604,0.2077,421367,359710,233672,0.6496,0.5546,0,0,calibration data
Southern,Chiradzulu,2016,Moderate prevalence (10%-49%),PZQ+ALB/MBD,43497,43497,86753,1.9945,1.9945,33667,37026,31033,0.8381,0.9218,77164,37026,117786,3.1812,1.5264,0,0,calibration data
Southern,Machinga,2016,High prevalence (50% and above),PZQ+ALB/MBD,163349,163349,176023,1.0776,1.0776,316084,170520,161960,0.9498,0.5124,479433,170520,337983,1.9821,0.705,0,0,calibration data
Southern,Mangochi,2016,High prevalence (50% and above),PZQ+ALB/MBD,272030,272030,222499,0.8179,0.8179,526383,526249,212386,0.4036,0.4035,798413,526249,434885,0.8264,0.5447,0,0,calibration data
Southern,Mulanje,2016,High prevalence (50% and above),PZQ+ALB/MBD,156498,156498,136718,0.8736,0.8736,302827,56346,23146,0.4108,0.0764,459325,56346,159864,2.8372,0.348,0,0,calibration data
Southern,Mwanza,2016,Moderate prevalence (10%-49%),PZQ+ALB/MBD,14206,14206,28655,2.0171,2.0171,10996,20076,15191,0.7567,1.3816,25202,20076,43846,2.184,1.7398,0,0,calibration data
Southern,Neno,2016,Moderate prevalence (10%-49%),PZQ+ALB/MBD,19920,19920,38841,1.9499,1.9499,15418,58353,33562,0.5752,2.1768,35338,58353,72403,1.2408,2.0489,0,0,calibration data
Southern,Nsanje,2016,High prevalence (50% and above),PZQ+ALB/MBD,78889,78889,75915,0.9623,0.9623,152651,108790,14304,0.1315,0.0937,231540,108790,90219,0.8293,0.3896,0,0,calibration data
Southern,Phalombe,2016,High prevalence (50% and above),PZQ+ALB/MBD,100906,100906,111225,1.1023,1.1023,195255,17145,20206,1.1785,0.1035,296161,17145,131431,7.6659,0.4438,0,0,calibration data
Southern,Thyolo,2016,Moderate prevalence (10%-49%),PZQ+ALB/MBD,87673,87673,160957,1.8359,1.8359,67860,53823,47906,0.8901,0.706,155533,53823,208863,3.8806,1.3429,0,0,calibration data
Southern,Zomba,2016,High prevalence (50% and above),PZQ+ALB/MBD,215855,215855,183839,0.8517,0.8517,417683,130520,109838,0.8415,0.263,633538,130520,293677,2.2501,0.4636,0,0,calibration data
Northern,Mzimba,2016,Moderate prevalence (10%-49%),PZQ+ALB/MBD,149344,149344,283264,1.90195,1.90195,115593,307302,210250,0.6904,1.832,264937,307302,493514,1.61555,1.87145,0,0,calibration data
Central,Lilongwe City,2016,Moderate prevalence (10%-49%),PZQ+ALB/MBD,332432,332432,571768,1.72,1.72,257305,461038,317345,0.6883,1.2333,589738,461038,889113,1.9285,1.5076,0,0,calibration data
Southern,Blantyre City,2016,Moderate prevalence (10%-49%),PZQ+ALB/MBD,171695,171695,273618,1.5936,1.5936,132893,161394,138118,0.8558,1.0393,304588,161394,411736,2.5511,1.3518,0,0,calibration data
Northern,Mzuzu City,2016,Moderate prevalence (10%-49%),PZQ+ALB/MBD,149344,149344,283264,1.90195,1.90195,115593,307302,210250,0.6904,1.832,264937,307302,493514,1.61555,1.87145,0,0,calibration data
Southern,Zomba City,2016,High prevalence (50% and above),PZQ+ALB/MBD,215855,215855,183839,0.8517,0.8517,417683,130520,109838,0.8415,0.263,633538,130520,293677,2.2501,0.4636,0,0,calibration data
Central,Dedza,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,90206,258394,193466,0.7487,2.1447,293575,293575,143852,0.49,0.49,90206,551969,337318,0.6111,3.7394,0,0,calibration data
Central,Dowa,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,91204,197477,120301,0.6092,1.319,153020,153020,93242,0.6093,0.6093,91204,350497,213543,0.6093,2.3414,0,0,calibration data
Central,Kasungu,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,95436,392704,230600,0.5872,2.4163,427505,427505,219513,0.5135,0.5135,95436,820209,450113,0.5488,4.7164,0,0,calibration data
Central,Lilongwe,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,314122,949172,952102,1.0031,3.031,392892,392892,377303,0.9603,0.9603,314122,1342064,1329405,0.9906,4.2321,0,0,calibration data
Central,Mchinji,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,68096,175135,141066,0.8055,2.0716,47645,47645,42546,0.893,0.893,68096,222780,183612,0.8242,2.6964,0,0,calibration data
Central,Nkhotakota,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,43829,197476,141344,0.7158,3.2249,114215,114215,110872,0.9707,0.9707,43829,311691,252216,0.8092,5.7545,0,0,calibration data
Central,Ntcheu,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,66132,160861,122039,0.7587,1.8454,43636,43636,37835,0.8671,0.8671,66132,204497,159874,0.7818,2.4175,0,0,calibration data
Central,Ntchisi,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,33020,84609,73353,0.867,2.2214,14475,14475,13437,0.9283,0.9283,33020,99084,86790,0.8759,2.6284,0,0,calibration data
Central,Salima,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,48446,248531,211271,0.8501,4.3609,126528,126528,95305,0.7532,0.7532,48446,375059,306576,0.8174,6.3282,0,0,calibration data
Likoma,Likoma,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,1207,3496,3291,0.9414,2.7263,1835,1835,1456,0.7935,0.7935,1207,5331,4747,0.8905,3.9324,0,0,calibration data
Northern,Chitipa,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,26702,65608,53192,0.8108,1.9921,51352,51352,42428,0.8262,0.8262,26702,116960,95620,0.8175,3.5811,0,0,calibration data
Northern,Karonga,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,38975,53257,40891,0.7678,1.0492,84098,84098,68902,0.8193,0.8193,38975,137355,109793,0.7993,2.817,0,0,calibration data
Northern,Nkhata Bay,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,31077,184437,121401,0.6582,3.9064,153033,153033,93255,0.6094,0.6094,31077,337470,214656,0.6361,6.9071,0,0,calibration data
Northern,Rumphi,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,24095,100639,95530,0.9492,3.9647,61288,61288,57299,0.9349,0.9349,24095,161927,152829,0.9438,6.3427,0,0,calibration data
Southern,Balaka,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,45786,118900,86604,0.7284,1.8915,31085,31085,29164,0.9382,0.9382,45786,149985,115768,0.7719,2.5285,0,0,calibration data
Southern,Blantyre,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,148225,259238,233060,0.899,1.5723,79607,79607,33875,0.4255,0.4255,148225,338845,266935,0.7878,1.8009,0,0,calibration data
Southern,Chikwawa,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,61644,151028,93884,0.6216,1.523,93454,93454,56052,0.5998,0.5998,61644,244482,149936,0.6133,2.4323,0,0,calibration data
Southern,Chiradzulu,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,36766,119087,113660,0.9544,3.0914,31638,31638,27810,0.879,0.879,36766,150725,141470,0.9386,3.8478,0,0,calibration data
Southern,Machinga,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,70245,309150,180920,0.5852,2.5756,148427,148427,81756,0.5508,0.5508,70245,457577,262676,0.5741,3.7394,0,0,calibration data
Southern,Mangochi,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,117472,279475,212016,0.7586,1.8048,153040,153040,93262,0.6094,0.6094,117472,432515,305278,0.7058,2.5987,0,0,calibration data
Southern,Mulanje,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,66101,660936,471425,0.7133,7.1319,437164,437164,418952,0.9583,0.9583,66101,1098100,890377,0.8108,13.4699,0,0,calibration data
Southern,Mwanza,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,12030,48335,27989,0.5791,2.3266,93195,93195,92498,0.9925,0.9925,12030,141530,120487,0.8513,10.0157,0,0,calibration data
Southern,Neno,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,18425,48977,42190,0.8614,2.2899,19877,19877,17566,0.8837,0.8837,18425,68854,59756,0.8679,3.2433,0,0,calibration data
Southern,Nsanje,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,32519,130532,92360,0.7076,2.8402,80875,80875,42495,0.5254,0.5254,32519,211407,134855,0.6379,4.1469,0,0,calibration data
Southern,Phalombe,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,43149,169497,143482,0.8465,3.3253,54987,54987,42866,0.7796,0.7796,43149,224484,186348,0.8301,4.3187,0,0,calibration data
Southern,Thyolo,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,74363,183418,151996,0.8287,2.044,42237,42237,35304,0.8359,0.8359,74363,225655,187300,0.83,2.5187,0,0,calibration data
Southern,Zomba,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,92340,388472,333542,0.8586,3.6121,161872,161872,128268,0.7924,0.7924,92340,550344,461810,0.8391,5.0012,0,0,calibration data
Northern,Mzimba,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,140194,369066,292004,0.84555,2.34135,334675,334675,244024,0.7197,0.7197,140194,703741,536028,0.77905,4.6998,0,0,calibration data
Central,Lilongwe City,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,314122,949172,952102,1.0031,3.031,392892,392892,377303,0.9603,0.9603,314122,1342064,1329405,0.9906,4.2321,0,0,calibration data
Southern,Blantyre City,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,148225,259238,233060,0.899,1.5723,79607,79607,33875,0.4255,0.4255,148225,338845,266935,0.7878,1.8009,0,0,calibration data
Northern,Mzuzu City,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,140194,369066,292004,0.84555,2.34135,334675,334675,244024,0.7197,0.7197,140194,703741,536028,0.77905,4.6998,0,0,calibration data
Southern,Zomba City,2015,Low prevalence (less than 10%),PZQ+ALB/MBD,92340,388472,333542,0.8586,3.6121,161872,161872,128268,0.7924,0.7924,92340,550344,461810,0.8391,5.0012,0,0,calibration data
Central,Dedza,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Central,Dowa,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Central,Kasungu,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Central,Lilongwe,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Central,Mchinji,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Central,Nkhotakota,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Central,Ntcheu,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Central,Ntchisi,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Central,Salima,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Likoma,Likoma,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Northern,Chitipa,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Northern,Karonga,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Northern,Nkhata Bay,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Northern,Rumphi,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Balaka,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Blantyre,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Chikwawa,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Chiradzulu,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Machinga,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Mangochi,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Mulanje,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Mwanza,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Neno,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Nsanje,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Phalombe,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Thyolo,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Zomba,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Northern,Mzimba,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Central,Lilongwe City,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Blantyre City,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
