MoH CPT IPT2020 (.csv)
======================

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/ResourceFile_HIV/MoH_CPT_IPT2020.csv>`

====  ======  =========  =================  =======  ===============  ===================  ===============  ===================
 388    2020  Q4         Karonga              14910            11161                 0.75
 389    2020  Q4         Nkhata Bay           11065            10070                 0.91
 390    2020  Q4         Rumphi                8830             8061                 0.91
 391    2020  Q4         Mzimba North         27485            22351                 0.81
 392    2020  Q4         Mzimba South         16545            12735                 0.77
 393    2020  Q4         Likoma                 806              572                 0.71
 394    2020  Q4         Central East Zone    68338            58886                 0.86
 395    2020  Q4         Nkhotakota           13556            11583                 0.85
 396    2020  Q4         Kasungu              18605            15678                 0.84
 397    2020  Q4         Ntchisi               4960             4673                 0.94
 398    2020  Q4         Dowa                 13595            10982                 0.81
 399    2020  Q4         Salima               17622            15971                 0.91
 400    2020  Q4         Central West Zone   178392           112222                 0.63
 401    2020  Q4         Lilongwe            111298            67320                 0.6
 402    2020  Q4         Mchinji              18309             8101                 0.44
 403    2020  Q4         Dedza                20339            13451                 0.66
 404    2020  Q4         Ntcheu               28446            23349                 0.82
 405    2020  Q4         South West Zone     269482           198439                 0.74
 406    2020  Q4         Chiradzulu           41641            30805                 0.74
 407    2020  Q4         Blantyre            101252            69292                 0.68
 408    2020  Q4         Mwanza                6700             2362                 0.35
 409    2020  Q4         Thyolo               56749            41892                 0.74
 410    2020  Q4         Chikwawa             31185            25837                 0.83
 411    2020  Q4         Nsanje               23065            20112                 0.87
 412    2020  Q4         Neno                  8890             8140                 0.92
 413    2020  Q4         South East Zone     261718           179565                 0.69
 414    2020  Q4         Mangochi             55035            37492                 0.68
 415    2020  Q4         Machinga             31860            23410                 0.73
 416    2020  Q4         Zomba                58737            38890                 0.66
 417    2020  Q4         Mulanje              57932            41253                 0.91
 418    2020  Q4         Phalombe             35653            20202                 0.57
 419    2020  Q4         Balaka               22501            18317                 0.81
 420    2021  Q1         National            871098           660603                 0.76
 421    2021  Q1         Northern Zone        87509            73411                 0.84
 422    2021  Q1         Chitipa               7004             4589                 0.66
 423    2021  Q1         Karonga              14946            12506                 0.84
 424    2021  Q1         Nkhata Bay           11465             9867                 0.86
 425    2021  Q1         Rumphi                8786             7447                 0.85
 426    2021  Q1         Mzimba North         27755            25131                 0.91
 427    2021  Q1         Mzimba South         16707            13011                 0.78
 428    2021  Q1         Likoma                 846              829                 0.98
 429    2021  Q1         Central East Zone    68085            44835                 0.66
 430    2021  Q1         Nkhotakota           13173             6453                 0.49
 431    2021  Q1         Kasungu              18755            11707                 0.62
 432    2021  Q1         Ntchisi               4896             3113                 0.64
 433    2021  Q1         Dowa                 13559            10467                 0.77
 434    2021  Q1         Salima               17702            13095                 0.74
 435    2021  Q1         Central West Zone   179401           149539                 0.83
 436    2021  Q1         Lilongwe            111655            94632                 0.85
 437    2021  Q1         Mchinji              18350            12252                 0.67
 438    2021  Q1         Dedza                20678            19645                 0.95
 439    2021  Q1         Ntcheu               28718            23010                 0.8
 440    2021  Q1         South West Zone     272660           204220                 0.75
 441    2021  Q1         Chiradzulu           41912            28098                 0.67
 442    2021  Q1         Blantyre            102559            74244                 0.72
 443    2021  Q1         Mwanza                6759             5441                 0.8
 444    2021  Q1         Thyolo               57575            44252                 0.77
 445    2021  Q1         Chikwawa             31750            26958                 0.79
 446    2021  Q1         Nsanje               23207            18544                 0.8
 447    2021  Q1         Neno                  8898             8682                 0.98
 448    2021  Q1         South East Zone     263443           188599                 0.72
 449    2021  Q1         Mangochi             55409            40097                 0.72
 450    2021  Q1         Machinga             32444            22986                 0.71
 451    2021  Q1         Zomba                59766            36501                 0.61
 452    2021  Q1         Mulanje              58054            44674                 0.77
 453    2021  Q1         Phalombe             35215            26149                 0.74
 454    2021  Q1         Balaka               22555            18192                 0.81
====  ======  =========  =================  =======  ===============  ===================  ===============  ===================
