OfficerType,Facility_Level,Parameter_name,Value,Description
Radiography,5,annual_inservice_training_cost_usd,955.3205022,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 43
Mental,1a,annual_inservice_training_cost_usd,811.8688847,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 44
Mental,1b,annual_inservice_training_cost_usd,811.8688847,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 45
Mental,2,annual_inservice_training_cost_usd,811.8688847,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 46
Mental,3,annual_inservice_training_cost_usd,990.4038828,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 47
Mental,4,annual_inservice_training_cost_usd,1017.767662,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 48
Mental,5,annual_inservice_training_cost_usd,990.4038828,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 49
Nutrition,1a,annual_inservice_training_cost_usd,515.4744247,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 50
Nutrition,1b,annual_inservice_training_cost_usd,515.4744247,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 51
Nutrition,2,annual_inservice_training_cost_usd,515.4744247,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 52
Nutrition,3,annual_inservice_training_cost_usd,683.7494876,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 53
Nutrition,4,annual_inservice_training_cost_usd,683.7494876,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 54
Nutrition,5,annual_inservice_training_cost_usd,1201.749497,Assume that in-service training costs the a certain proportion of salary costs. The proportion is dreived from the ratio of in-service training expenditures to health worker salaries in 2018/19 as per the Resource Mapping Round 55
Clinical,All,average_annual_preservice_training_cost_for_cadre,3567.026174,"This is the sum total of the annual tuition fees and annual faculty salary cost for the duration of the education of each cadre. This is calculated using unit costs from the pre-service worksforce costing done from the HSSP-III. File used - ""MTAP Intervention Costing Tool_08082023_clean_BASELINE_inflated_newscholarship#s_pharmacySAhardcoaded.xlsx (CA version)"". See ' raw_preservice_unit_costs' tab. We assume that infrastructure and equipment costs are small when spread over the long duration and number of students over which they are used. "
DCSA,All,average_annual_preservice_training_cost_for_cadre,2040.785265,"This is the sum total of the annual tuition fees and annual faculty salary cost for the duration of the education of each cadre. This is calculated using unit costs from the pre-service worksforce costing done from the HSSP-III. File used - ""MTAP Intervention Costing Tool_08082023_clean_BASELINE_inflated_newscholarship#s_pharmacySAhardcoaded.xlsx (CA version)"". See ' raw_preservice_unit_costs' tab. We assume that infrastructure and equipment costs are small when spread over the long duration and number of students over which they are used. "
Dental,All,average_annual_preservice_training_cost_for_cadre,3567.026174,"This is the sum total of the annual tuition fees and annual faculty salary cost for the duration of the education of each cadre. This is calculated using unit costs from the pre-service worksforce costing done from the HSSP-III. File used - ""MTAP Intervention Costing Tool_08082023_clean_BASELINE_inflated_newscholarship#s_pharmacySAhardcoaded.xlsx (CA version)"". See ' raw_preservice_unit_costs' tab. We assume that infrastructure and equipment costs are small when spread over the long duration and number of students over which they are used. "
Laboratory,All,average_annual_preservice_training_cost_for_cadre,9786.365676,"This is the sum total of the annual tuition fees and annual faculty salary cost for the duration of the education of each cadre. This is calculated using unit costs from the pre-service worksforce costing done from the HSSP-III. File used - ""MTAP Intervention Costing Tool_08082023_clean_BASELINE_inflated_newscholarship#s_pharmacySAhardcoaded.xlsx (CA version)"". See ' raw_preservice_unit_costs' tab. We assume that infrastructure and equipment costs are small when spread over the long duration and number of students over which they are used. "
Nursing_and_Midwifery,All,average_annual_preservice_training_cost_for_cadre,3481.828119,"This is the sum total of the annual tuition fees and annual faculty salary cost for the duration of the education of each cadre. This is calculated using unit costs from the pre-service worksforce costing done from the HSSP-III. File used - ""MTAP Intervention Costing Tool_08082023_clean_BASELINE_inflated_newscholarship#s_pharmacySAhardcoaded.xlsx (CA version)"". See ' raw_preservice_unit_costs' tab. We assume that infrastructure and equipment costs are small when spread over the long duration and number of students over which they are used. "
Pharmacy,All,average_annual_preservice_training_cost_for_cadre,3865.313855,"This is the sum total of the annual tuition fees and annual faculty salary cost for the duration of the education of each cadre. This is calculated using unit costs from the pre-service worksforce costing done from the HSSP-III. File used - ""MTAP Intervention Costing Tool_08082023_clean_BASELINE_inflated_newscholarship#s_pharmacySAhardcoaded.xlsx (CA version)"". See ' raw_preservice_unit_costs' tab. We assume that infrastructure and equipment costs are small when spread over the long duration and number of students over which they are used. "
Radiography,All,average_annual_preservice_training_cost_for_cadre,3567.026174,"This is the sum total of the annual tuition fees and annual faculty salary cost for the duration of the education of each cadre. This is calculated using unit costs from the pre-service worksforce costing done from the HSSP-III. File used - ""MTAP Intervention Costing Tool_08082023_clean_BASELINE_inflated_newscholarship#s_pharmacySAhardcoaded.xlsx (CA version)"". See ' raw_preservice_unit_costs' tab. We assume that infrastructure and equipment costs are small when spread over the long duration and number of students over which they are used. "
Mental,All,average_annual_preservice_training_cost_for_cadre,3567.026174,"This is the sum total of the annual tuition fees and annual faculty salary cost for the duration of the education of each cadre. This is calculated using unit costs from the pre-service worksforce costing done from the HSSP-III. File used - ""MTAP Intervention Costing Tool_08082023_clean_BASELINE_inflated_newscholarship#s_pharmacySAhardcoaded.xlsx (CA version)"". See ' raw_preservice_unit_costs' tab. We assume that infrastructure and equipment costs are small when spread over the long duration and number of students over which they are used. "
Nutrition,All,average_annual_preservice_training_cost_for_cadre,3481.828119,"This is the sum total of the annual tuition fees and annual faculty salary cost for the duration of the education of each cadre. This is calculated using unit costs from the pre-service worksforce costing done from the HSSP-III. File used - ""MTAP Intervention Costing Tool_08082023_clean_BASELINE_inflated_newscholarship#s_pharmacySAhardcoaded.xlsx (CA version)"". See ' raw_preservice_unit_costs' tab. We assume that infrastructure and equipment costs are small when spread over the long duration and number of students over which they are used. "
Clinical,All,preservice_training_duration,4.285714286,"This is the average length of the degree or diploma for various cadres across institutes in Malawi. This is calculated using unit costs from the pre-service worksforce costing done from the HSSP-III. File used - ""MTAP Intervention Costing Tool_08082023_clean_BASELINE_inflated_newscholarship#s_pharmacySAhardcoaded.xlsx (CA version)"". See ' raw_preservice_unit_costs' tab. We assume that infrastructure and equipment costs are small when spread over the long duration and number of students over which they are used. "
DCSA,All,preservice_training_duration,3,"This is the average length of the degree or diploma for various cadres across institutes in Malawi. This is calculated using unit costs from the pre-service worksforce costing done from the HSSP-III. File used - ""MTAP Intervention Costing Tool_08082023_clean_BASELINE_inflated_newscholarship#s_pharmacySAhardcoaded.xlsx (CA version)"". See ' raw_preservice_unit_costs' tab. We assume that infrastructure and equipment costs are small when spread over the long duration and number of students over which they are used. "
Dental,All,preservice_training_duration,4.285714286,"This is the average length of the degree or diploma for various cadres across institutes in Malawi. This is calculated using unit costs from the pre-service worksforce costing done from the HSSP-III. File used - ""MTAP Intervention Costing Tool_08082023_clean_BASELINE_inflated_newscholarship#s_pharmacySAhardcoaded.xlsx (CA version)"". See ' raw_preservice_unit_costs' tab. We assume that infrastructure and equipment costs are small when spread over the long duration and number of students over which they are used. "
Laboratory,All,preservice_training_duration,3.333333333,"This is the average length of the degree or diploma for various cadres across institutes in Malawi. This is calculated using unit costs from the pre-service worksforce costing done from the HSSP-III. File used - ""MTAP Intervention Costing Tool_08082023_clean_BASELINE_inflated_newscholarship#s_pharmacySAhardcoaded.xlsx (CA version)"". See ' raw_preservice_unit_costs' tab. We assume that infrastructure and equipment costs are small when spread over the long duration and number of students over which they are used. "
Nursing_and_Midwifery,All,preservice_training_duration,3.21875,"This is the average length of the degree or diploma for various cadres across institutes in Malawi. This is calculated using unit costs from the pre-service worksforce costing done from the HSSP-III. File used - ""MTAP Intervention Costing Tool_08082023_clean_BASELINE_inflated_newscholarship#s_pharmacySAhardcoaded.xlsx (CA version)"". See ' raw_preservice_unit_costs' tab. We assume that infrastructure and equipment costs are small when spread over the long duration and number of students over which they are used. "
Pharmacy,All,preservice_training_duration,3.333333333,"This is the average length of the degree or diploma for various cadres across institutes in Malawi. This is calculated using unit costs from the pre-service worksforce costing done from the HSSP-III. File used - ""MTAP Intervention Costing Tool_08082023_clean_BASELINE_inflated_newscholarship#s_pharmacySAhardcoaded.xlsx (CA version)"". See ' raw_preservice_unit_costs' tab. We assume that infrastructure and equipment costs are small when spread over the long duration and number of students over which they are used. "
Radiography,All,preservice_training_duration,4.285714286,"This is the average length of the degree or diploma for various cadres across institutes in Malawi. This is calculated using unit costs from the pre-service worksforce costing done from the HSSP-III. File used - ""MTAP Intervention Costing Tool_08082023_clean_BASELINE_inflated_newscholarship#s_pharmacySAhardcoaded.xlsx (CA version)"". See ' raw_preservice_unit_costs' tab. We assume that infrastructure and equipment costs are small when spread over the long duration and number of students over which they are used. "
Mental,All,preservice_training_duration,4.285714286,"This is the average length of the degree or diploma for various cadres across institutes in Malawi. This is calculated using unit costs from the pre-service worksforce costing done from the HSSP-III. File used - ""MTAP Intervention Costing Tool_08082023_clean_BASELINE_inflated_newscholarship#s_pharmacySAhardcoaded.xlsx (CA version)"". See ' raw_preservice_unit_costs' tab. We assume that infrastructure and equipment costs are small when spread over the long duration and number of students over which they are used. "
Nutrition,All,preservice_training_duration,3.21875,"This is the average length of the degree or diploma for various cadres across institutes in Malawi. This is calculated using unit costs from the pre-service worksforce costing done from the HSSP-III. File used - ""MTAP Intervention Costing Tool_08082023_clean_BASELINE_inflated_newscholarship#s_pharmacySAhardcoaded.xlsx (CA version)"". See ' raw_preservice_unit_costs' tab. We assume that infrastructure and equipment costs are small when spread over the long duration and number of students over which they are used. "
Clinical,All,average_length_of_tenure_in_the_public_sector,14.28571429,This is currently calculated based on the attrition rate assumption
DCSA,All,average_length_of_tenure_in_the_public_sector,14.28571429,This is currently calculated based on the attrition rate assumption
Dental,All,average_length_of_tenure_in_the_public_sector,14.28571429,This is currently calculated based on the attrition rate assumption
Laboratory,All,average_length_of_tenure_in_the_public_sector,14.28571429,This is currently calculated based on the attrition rate assumption
Nursing_and_Midwifery,All,average_length_of_tenure_in_the_public_sector,14.28571429,This is currently calculated based on the attrition rate assumption
Pharmacy,All,average_length_of_tenure_in_the_public_sector,14.28571429,This is currently calculated based on the attrition rate assumption
Radiography,All,average_length_of_tenure_in_the_public_sector,14.28571429,This is currently calculated based on the attrition rate assumption
Mental,All,average_length_of_tenure_in_the_public_sector,14.28571429,This is currently calculated based on the attrition rate assumption
Nutrition,All,average_length_of_tenure_in_the_public_sector,14.28571429,This is currently calculated based on the attrition rate assumption
Clinical,All,annual_attrition_rate,0.07,"For generalist cadres: 1% loss to retirement; 2% loss to involuntary attrition; 3% loss to voluntary attrition; 1% loss to education leave 
Page 46, Detailed Annex for Health Workforce Interventions of Malawi HSSP III (Downloaded from https://www.health.gov.mw/download/hssp-iii/   on 02/05/2024)"
DCSA,All,annual_attrition_rate,0.07,"For generalist cadres: 1% loss to retirement; 2% loss to involuntary attrition; 3% loss to voluntary attrition; 1% loss to education leave 
Page 46, Detailed Annex for Health Workforce Interventions of Malawi HSSP III (Downloaded from https://www.health.gov.mw/download/hssp-iii/   on 02/05/2024)"
Dental,All,annual_attrition_rate,0.07,"For generalist cadres: 1% loss to retirement; 2% loss to involuntary attrition; 3% loss to voluntary attrition; 1% loss to education leave 
Page 46, Detailed Annex for Health Workforce Interventions of Malawi HSSP III (Downloaded from https://www.health.gov.mw/download/hssp-iii/   on 02/05/2024)"
Laboratory,All,annual_attrition_rate,0.07,"For generalist cadres: 1% loss to retirement; 2% loss to involuntary attrition; 3% loss to voluntary attrition; 1% loss to education leave 
Page 46, Detailed Annex for Health Workforce Interventions of Malawi HSSP III (Downloaded from https://www.health.gov.mw/download/hssp-iii/   on 02/05/2024)"
Nursing_and_Midwifery,All,annual_attrition_rate,0.07,"For generalist cadres: 1% loss to retirement; 2% loss to involuntary attrition; 3% loss to voluntary attrition; 1% loss to education leave 
Page 46, Detailed Annex for Health Workforce Interventions of Malawi HSSP III (Downloaded from https://www.health.gov.mw/download/hssp-iii/   on 02/05/2024)"
Pharmacy,All,annual_attrition_rate,0.07,"For generalist cadres: 1% loss to retirement; 2% loss to involuntary attrition; 3% loss to voluntary attrition; 1% loss to education leave 
Page 46, Detailed Annex for Health Workforce Interventions of Malawi HSSP III (Downloaded from https://www.health.gov.mw/download/hssp-iii/   on 02/05/2024)"
Radiography,All,annual_attrition_rate,0.07,"For generalist cadres: 1% loss to retirement; 2% loss to involuntary attrition; 3% loss to voluntary attrition; 1% loss to education leave 
Page 46, Detailed Annex for Health Workforce Interventions of Malawi HSSP III (Downloaded from https://www.health.gov.mw/download/hssp-iii/   on 02/05/2024)"
Mental,All,annual_attrition_rate,0.07,"For generalist cadres: 1% loss to retirement; 2% loss to involuntary attrition; 3% loss to voluntary attrition; 1% loss to education leave 
Page 46, Detailed Annex for Health Workforce Interventions of Malawi HSSP III (Downloaded from https://www.health.gov.mw/download/hssp-iii/   on 02/05/2024)"
Nutrition,All,annual_attrition_rate,0.07,"For generalist cadres: 1% loss to retirement; 2% loss to involuntary attrition; 3% loss to voluntary attrition; 1% loss to education leave 
Page 46, Detailed Annex for Health Workforce Interventions of Malawi HSSP III (Downloaded from https://www.health.gov.mw/download/hssp-iii/   on 02/05/2024)"
Clinical,All,absorption_rate_of_students_into_public_workforce,0.679,"""In addition, the HSSP III health workforce planning assumes a 100% absorption rate in the pipeline, as the primary barrier to absorption is the availability of salaries and all salaries are fully costed in the HSSP III.""
This figure is then multiplied by the proportion of those employed who are absorbed into the public sector - Detailed Annex for Health Workforce Interventions of Malawi HSSP III (Downloaded from https://www.health.gov.mw/download/hssp-iii/   on 02/05/2024)"
DCSA,All,absorption_rate_of_students_into_public_workforce,1,"""In addition, the HSSP III health workforce planning assumes a 100% absorption rate in the pipeline, as the primary barrier to absorption is the availability of salaries and all salaries are fully costed in the HSSP III."" - Detailed Annex for Health Workforce Interventions of Malawi HSSP III (Downloaded from https://www.health.gov.mw/download/hssp-iii/   on 02/05/2024)"
Dental,All,absorption_rate_of_students_into_public_workforce,0.689857143,"""In addition, the HSSP III health workforce planning assumes a 100% absorption rate in the pipeline, as the primary barrier to absorption is the availability of salaries and all salaries are fully costed in the HSSP III."" - Detailed Annex for Health Workforce Interventions of Malawi HSSP III (Downloaded from https://www.health.gov.mw/download/hssp-iii/   on 02/05/2024)"
Laboratory,All,absorption_rate_of_students_into_public_workforce,0.689857143,"""In addition, the HSSP III health workforce planning assumes a 100% absorption rate in the pipeline, as the primary barrier to absorption is the availability of salaries and all salaries are fully costed in the HSSP III."" - Detailed Annex for Health Workforce Interventions of Malawi HSSP III (Downloaded from https://www.health.gov.mw/download/hssp-iii/   on 02/05/2024)"
Nursing_and_Midwifery,All,absorption_rate_of_students_into_public_workforce,0.84,"""In addition, the HSSP III health workforce planning assumes a 100% absorption rate in the pipeline, as the primary barrier to absorption is the availability of salaries and all salaries are fully costed in the HSSP III."" - Detailed Annex for Health Workforce Interventions of Malawi HSSP III (Downloaded from https://www.health.gov.mw/download/hssp-iii/   on 02/05/2024)"
Pharmacy,All,absorption_rate_of_students_into_public_workforce,0.607666667,"""In addition, the HSSP III health workforce planning assumes a 100% absorption rate in the pipeline, as the primary barrier to absorption is the availability of salaries and all salaries are fully costed in the HSSP III."" - Detailed Annex for Health Workforce Interventions of Malawi HSSP III (Downloaded from https://www.health.gov.mw/download/hssp-iii/   on 02/05/2024)"
Radiography,All,absorption_rate_of_students_into_public_workforce,0.795,"""In addition, the HSSP III health workforce planning assumes a 100% absorption rate in the pipeline, as the primary barrier to absorption is the availability of salaries and all salaries are fully costed in the HSSP III."" - Detailed Annex for Health Workforce Interventions of Malawi HSSP III (Downloaded from https://www.health.gov.mw/download/hssp-iii/   on 02/05/2024)"
Mental,All,absorption_rate_of_students_into_public_workforce,0.689857143,"""In addition, the HSSP III health workforce planning assumes a 100% absorption rate in the pipeline, as the primary barrier to absorption is the availability of salaries and all salaries are fully costed in the HSSP III."" - Detailed Annex for Health Workforce Interventions of Malawi HSSP III (Downloaded from https://www.health.gov.mw/download/hssp-iii/   on 02/05/2024)"
Nutrition,All,absorption_rate_of_students_into_public_workforce,0.689857143,"""In addition, the HSSP III health workforce planning assumes a 100% absorption rate in the pipeline, as the primary barrier to absorption is the availability of salaries and all salaries are fully costed in the HSSP III."" - Detailed Annex for Health Workforce Interventions of Malawi HSSP III (Downloaded from https://www.health.gov.mw/download/hssp-iii/   on 02/05/2024)"
Clinical,All,proportion_of_workforce_recruited_from_abroad,0,Temporary assumption in the absence of data
DCSA,All,proportion_of_workforce_recruited_from_abroad,0,Temporary assumption in the absence of data
Dental,All,proportion_of_workforce_recruited_from_abroad,0,Temporary assumption in the absence of data
Laboratory,All,proportion_of_workforce_recruited_from_abroad,0,Temporary assumption in the absence of data
Nursing_and_Midwifery,All,proportion_of_workforce_recruited_from_abroad,0,Temporary assumption in the absence of data
Pharmacy,All,proportion_of_workforce_recruited_from_abroad,0,Temporary assumption in the absence of data
Radiography,All,proportion_of_workforce_recruited_from_abroad,0,Temporary assumption in the absence of data
Mental,All,proportion_of_workforce_recruited_from_abroad,0,Temporary assumption in the absence of data
Nutrition,All,proportion_of_workforce_recruited_from_abroad,0,Temporary assumption in the absence of data
All,All,recruitment_cost_per_person_recruited_usd,33.75,"Assumption in the ""01-HSSP-III-Costing"" tool - ""$15000 to interveiew 8000 people, to absorb 2000 people. So that process times 4.5X""
Submitted a query to CHAI about the meaning of ""So that process times 4.5X"". (Downloaded from https://www.health.gov.mw/download/hssp-iii/   on 02/05/2024)"
All,All,licensure_exam_passing_rate,0.9,"Page 46, Detailed Annex for Health Workforce Interventions of Malawi HSSP III (Downloaded from https://www.health.gov.mw/download/hssp-iii/   on 02/05/2024)"
All,All,graduation_rate,0.8,"Page 46, Detailed Annex for Health Workforce Interventions of Malawi HSSP III (Downloaded from https://www.health.gov.mw/download/hssp-iii/   on 02/05/2024)"
