Item_Code,Items,Unit,Price_per_unit,Data_source,Notes
2673,First line ART regimen: young child,1 tablet (Abacavir/Dolutegravir/Lamivudine 60/5/30mg),0.082333333,"Global Fund ARV Reference Prices 2024 - https://www.theglobalfund.org/media/5813/ppm_arvreferencepricing_table_en.pdf Abacavir/Dolutegravir/Lamivudine 60/5/30mg dispersible tablet, container of 90 tablets",
2678,Isoniazid/Rifapentine,1 tablet (3HP - Isoniazid 300mg/Rifapentine 300mg),0.490416667,Frick (2020) - An activist's guide to Rifapentine for the treatment of TB infection; https://www.treatmentactiongroup.org/wp-content/uploads/2020/04/rifapentine_guide_2020.pdf,
1735,"Praziquantel, 600 mg (donated)",1 mg,0.000109866,CMST 2023,
1171,Complementary feeding--education only drugs/supplies to service a client,NA,0,Education only and no drugs,
1237,Specimen container,1 container,0.040689897,CMST 2023,
1239,Biopsy needle,1 needle,8.772187431,CMST 2023,
1124,Fansidar (sulphadoxine / pyrimethamine tab),1 tablet,0.099788,UNICEF Supply Catalogue 2024 https://supply.unicef.org/s1568040.html [Sulfadox+Pyrimeth 500+25mg tabs/PAC-100],
186,ZN Stain,1 slide read,0.351,Whitelaw et al (2011) https://publications.ersnet.org/content/erj/38/6/1393?t=,
1071,Sputum container,1 container,1.283381331,CMST 2023,
1272,"Microscope slides, lime-soda-glass, pack of 50",1 slide,0.003085631,CMST 2023,
2026,Lead rubber x-ray protective aprons up to 150kVp 0.50mm_each_CMST,1 use,0.878139837,CMST 2023,"Assume 55,667 tests divided by 700 facilities -  X-rays per year per facility - https://researchonline.lshtm.ac.uk/id/eprint/8880/1/Resources%20for%20controlling%20tuberculosis%20in%20Malawi.pdf?t"
