Item_code,Equipment_tlo,Equipment_SEL,Department_name_SEL,Life_Span,Unit_Purchase_Cost,Health Post_Prioritised_Quantity,Community_Prioritised_Quantity,Health Center_Prioritised_Quantity,District_Prioritised_Quantity,Central_Prioritised_Quantity,Notes,Data_Source (Life_Span),Data_source (Unit_Purchase_Cost + Prioritised_Quantity)
231,LED Tissue floatation water bath and slide dryer Combo,LED Tissue floatation water bath and slide dryer Combo,Laboratory,15,2500,0,0,0,0,2,,,HSSP-III
232,Tissue Floatation Water Bath,Tissue Floatation Water Bath,Laboratory,8,600,0,0,0,0,4,,Tissue-embedding center,HSSP-III
234,IHL Slide Manager $ Slide dryer Combo,IHL Slide Manager $ Slide dryer Combo,Laboratory,15,325,0,0,0,0,2,,,HSSP-III
235,Paraffin Block Trimmer,Paraffin Block Trmmer,Laboratory,7,25000,0,0,0,0,2,,Paraffin,HSSP-III
236,PELCO BioWave Plot,PELCO BioWave Plot,Laboratory,15,35000,0,0,0,0,2,,,HSSP-III
237,Stereo Microscopes,Stereo Microscopes,Laboratory,5,2500,0,0,0,0,2,,Stereo equipment,HSSP-III
238,Biological Microscopes,Biological Microscopes,Laboratory,15,200,0,0,0,0,2,,,HSSP-III
239,"Centrifuge, Mini",MagFuge Centrifuge and Stirer,Laboratory,15,8880.95,0,0,0,0,2,,,HSSP-III
240,Cell Tec Activation Filters,Cell Tec Activation Filters,Laboratory,15,300,0,0,0,0,2,,,HSSP-III
241,UV pipette Carousel,UV pippette Carousal,Laboratory,15,350,0,0,0,0,2,,,HSSP-III
242,Anti-shock garment,anti-shock garmet,Obstetrics And Gynaecology Sub-Specialty : Gynecological Ward,15,75,0,0,0,0,2,,,HSSP-III
243,Pulse oximeter,Pulse oximeter,Opd,7,453.1,0,0,0,5,36,,Pulse oxymeter,HSSP-III
244,Lamination suction system,Lamination sunction system,Prosthetics And Orthotics,15,14000,0,0,0,0,1,,Laminar flow system,HSSP-III
245,Drilling machine,Drilling machine,Prosthetics And Orthotics,15,5000,0,0,0,0,2,,,HSSP-III
246,Router machine,Router machine,Prosthetics And Orthotics,15,65,0,0,0,0,3,,,HSSP-III
247,Band saws,Band saws,Prosthetics And Orthotics,15,249.85,0,0,0,0,1,,,HSSP-III
248,Fume extractor,Fume extractor,Prosthetics And Orthotics,15,7500,0,0,0,0,2,,,HSSP-III
249,Magnetic resonance imaging (MRI),Magnetic resonance imaging (MRI),Medical Imaging,10,1340282.18,0,0,0,0,1,,Magnetic/MRI shielding,HSSP-III
250,Quality control kit (radiology),Quality control kit,Medical Imaging,15,,0,1,0,1,0,This item is not costed in the SEL,,HSSP-III
251,"Racks, storage, set","Racks, storage, set",Central Sterilization,15,45,0,0,0,0,6,,,HSSP-III
252,Office software,Office software,Speech And Language Therapy,15,150,0,0,0,0,1,,,HSSP-III
253,Biosafety Cabinet (Class II),Biosafety Cabinet (Class II),Laboratory,15,17761.9,0,0,0,0,3,,,HSSP-III
254,Incubator (O2),Incubator (O2),Laboratory,10,1500,0,0,0,0,2,,"Incubator, laboratory",HSSP-III
255,Incubator (CO2),Incubator (CO2),Laboratory,10,2000,0,0,0,0,1,,"Incubator, laboratory",HSSP-III
256,Blood culture incubator,Blood culture incubator,Laboratory,15,200,0,0,0,0,1,,,HSSP-III
257,Anaerobic Jars (AnO2),Anaerobic Jars (AnO2),Laboratory,15,0.07,0,0,0,0,4,,Anaerobe chamber,HSSP-III
258,Pipette filler,Pipette filler,Laboratory,10,4,0,0,0,0,5,,"Pipette, automatic",HSSP-III
259,Diagnostic Set,Diagnostic Set,Laboratory,10,25.975,0,0,0,0,9,,Diagnostic set,HSSP-III
260,Slide storage box,Slide storage boxes,Laboratory,7,0,0,0,0,0,30,,"Slide stainer, laboratory",HSSP-III
261,Sample roller mixer,Sample roller mixer,Laboratory,15,500,0,0,0,0,2,,,HSSP-III
262,Automatic staining machine,Automatic staining machine,Laboratory,15,800,0,0,0,0,1,,,HSSP-III
263,Dispensing pumps for culture media preparation,Dispensing pumps for culture media preparation,Laboratory,10,2995,0,0,0,0,2,,"Dispenser, alcohol",HSSP-III
264,Automated blood culture systems,Automated blood culture systems,Laboratory,15,8164.8,0,0,0,0,1,,,HSSP-III
265,Magnetic Stirrer,Magnetic Stirer,Laboratory,10,580.68,0,0,0,0,4,,Magnetic/MRI shielding,HSSP-III
266,Sensitivity disc dispenser,Sensitivity disc dispenser,Laboratory,10,50,0,0,0,0,2,,Sensitometer,HSSP-III
267,Oven (dryer),Oven (dryer),Laboratory,15,25000,0,0,0,0,2,,,HSSP-III
268,Hot plate,Hot plate,Central Sterilization,15,35,0,0,0,0,2,,,HSSP-III
269,Gene Expert (16 Module),Gene Expert (16 Module),Laboratory,15,75000,0,0,0,0,2,,,HSSP-III
270,Burnsen Burner,Burnsen Burner,Laboratory,15,38.78,0,0,0,0,2,,,HSSP-III
271,Blood culture rack,Blood culture rack,Laboratory,15,35,0,0,0,0,20,,,HSSP-III
272,Distiller,Distiller,Laboratory,15,1776.19,0,0,0,0,1,,Distilling apparatus,HSSP-III
273,Led Microscope,Led Microscope,General,15,500,0,0,0,0,1,,,HSSP-III
274,Electron Microscope,Electron Microscope,Laboratory,15,200,0,0,0,0,1,,,HSSP-III
275,Skin snips equipment set,Diagnostic equipment set for ward/nurse,Obstetrics And Gynaecology Sub-Specialty : Mch Department Ward,10,30.27,0,0,0,5,4,,Diagnostic set,HSSP-III
276,Thermal Mixer,Thermal Mixer,Laboratory,15,1500,0,0,0,0,2,,,HSSP-III
277,Heat Blocks,Heat Blocks,Laboratory,15,450,0,0,0,0,2,,,HSSP-III
278,DNA Sequencer,DNA Sequencer,Laboratory,15,1000000,0,0,0,0,1,,,HSSP-III
279,"Ultrasound, combined 2/4 pole interferential with vacuum and dual frequency 1-3MHZ",Combined 2/4 pole interferential with vacuum and dual frequency 1-3MHZ ultrasound,Physiotherapy,15,300,0,0,0,0,4,,,HSSP-III
280,Combined Wax Sterizer & Wax bath 15 litres,Combined Wax Sterizer & Wax bath 15 litres,Physiotherapy,15,81000,0,0,0,0,2,,,HSSP-III
281,Tunturi E420 Ergometer,Tunturi E420 Ergometer,Physiotherapy,15,2500,0,0,0,0,4,,,HSSP-III
282,Solitude 11 Platinum Treadmill,Solitude 11 Platinum Treadmill,Physiotherapy,15,3000,0,0,0,0,3,,,HSSP-III
283,Mega Pulse Senior 265,Mega Pulse Senior 265,Physiotherapy,15,250,0,0,0,0,2,,,HSSP-III
284,Hot Pack Therapy Units,Hot Pack Therapy Units,Physiotherapy,15,300,0,0,0,0,4,,,HSSP-III
285,Voltage Regulators,Voltage Regulators,Physiotherapy,15,35,0,0,0,0,6,,,HSSP-III
286,Ordinary balls,Ordinary balls,Opd,15,25,0,0,0,0,10,,,HSSP-III
287,Drilling machine,Sterilizing unit,Obstetrics And Gynaecology Sub-Specialty: Delivery Suite/Labour Ward,15,8393.39,0,0,0,0,1,,"Sterilizer, built-in",HSSP-III
288,Muscle stimulator,Muscle stimulator,Physiotherapy,10,250,0,0,0,0,4,,Muscle stimulator,HSSP-III
289,Lumber & Cervical Traction Units,Lumber & Cervical Traction Units,Physiotherapy,15,550,0,0,0,0,4,,,HSSP-III
290,3D Thumb,3D Thumb,Physiotherapy,15,5,0,0,0,0,10,,,HSSP-III
291,MVA Set,MVA Set,Obstetrics And Gynaecology Sub-Specialty : Gynecological Ward,15,25,0,0,0,0,20,,,HSSP-III
292,"Lamp, examination",Examination lamp,Dialysis,10,173.91,0,0,0,0,2,,Examining,HSSP-III
293,Resuscitaire,Rescucitaire,Pediatrics,15,422.2,0,0,0,1,5,,,HSSP-III
294,Nasal Prongs,Nasal Prongs,Obstetrics And Gynaecology Sub-Specialty: Delivery Suite/Labour Ward,15,3,0,0,0,0,8,,,HSSP-III
295,Dual ergometer,Dual Egormeter,Physiotherapy,15,2500,0,0,0,2,2,,,HSSP-III
296,Rehabilitation wall bars,Rehabilitation wall bars,Rehabilitation,15,25,0,0,0,1,4,,,HSSP-III
297,Tenaculums,Tenacullums,Obstetrics And Gynaecology,15,150,0,0,2,0,0,,,HSSP-III
298,Stethoscope,Stethoscope,Obstetrics And Gynaecology Sub-Specialty: Delivery Suite/Labour Ward,5,320.4,2,0,0,4,73,,Stethoscope,HSSP-III
299,Cryotherapy unit,Cryotherapy machine,Obstetrics And Gynaecology Sub-Specialty : Mch Department Ward,15,23691.15,0,0,0,0,4,,,HSSP-III
300,LLETZ Machines,LLETZ Machine,Obstetrics And Gynaecology Sub-Specialty : Mch Department Ward,15,4500,0,0,0,0,4,,,HSSP-III
301,Rehabilitation wall bars,Wall Bars,Obstetrics And Gynaecology,15,25,0,0,0,0,4,,,HSSP-III
302,Treadmill,Treadmill,Physiotherapy,8,3000,0,0,0,2,2,,"Treadmill, electric",HSSP-III
303,Wobble mat,Wobble mat,Rehabilitation,15,35,0,0,0,2,0,,,HSSP-III
304,Sets of sand bags,Sets of sand bags,Rehabilitation,15,692.5,0,0,0,2,2,,,HSSP-III
305,Knee continuous range of motion machine,Knee continuous range of motion machine,Physiotherapy,15,8805.89,0,0,0,0,3,,,HSSP-III
306,Vacuum system,Vacuum system,Prosthetics And Orthotics,15,550,0,0,0,0,1,,Vacuum cleaning system,HSSP-III
307,Slide drying rack,Slide Drier Rack,Laboratory,7,0,0,0,0,0,2,,"Slide stainer, laboratory",HSSP-III
308,Air Extractor,Air Extractor,Laboratory,15,390,0,0,0,0,1,,,HSSP-III
309,Applicator sticks jar,Applicator sticks jar,Laboratory,15,10,0,0,0,0,10,,,HSSP-III
310,Skin snips equipment set,Skin snips equipment set,Laboratory,15,0,0,0,0,0,1,,,HSSP-III
311,Staining Jars,Couplin Staining Jars,Laboratory,15,5,0,0,0,0,10,,,HSSP-III
312,Developmental milestone chats,Development milestone charts,Physiotherapy,15,25,0,0,0,5,5,,,HSSP-III
313,Wedges of various shapes,Wedges of various shapes,Physiotherapy,15,50,0,0,0,0,15,,,HSSP-III
314,Rolls of various sizes and shapes,Rolls of various sizes and shapes,Obstetrics And Gynaecology Sub-Specialty : Mch Department Ward,15,57.38,0,0,0,0,15,,,HSSP-III
315,"Cupboard, for medicine, lockable","Cupboard, dangerous drugs",Maternity,15,300,0,0,1,1,8,,,HSSP-III
316,Cerebral Palsy (CP) chair,Cerebral Palsy (CP) chair,Physiotherapy,7,2000,0,0,0,0,10,,Cerebral function monitor,HSSP-III
317,Corner seat,Corner seat,Rehabilitation,10,160,0,0,0,0,10,,Corner guards,HSSP-III
318,Shovels,Shovels,Speech And Language Therapy,15,0,0,0,0,0,0,,,HSSP-III
319,Tally Counter,Wall mirrors (2m x 0.5m),Medical Imaging,15,30,0,0,0,0,3,,,HSSP-III
320,"Incubator, infant","Incubator, infant",Obstetrics And Gynaecology Sub-Specialty: Delivery Suite/Labour Ward,10,37475.18,0,0,0,2,8,,"Incubator, laboratory",HSSP-III
321,"Phototherapy unit, infant, with accessories","Phototherapy unit, infant, with accessories",Obstetrics And Gynaecology Sub-Specialty: Delivery Suite/Labour Ward,10,6465.94,0,0,0,1,8,,Phototherapy unit,HSSP-III
322,"Resuscitator, manual, infant","Resuscitator, manual, infant several sizes",Obstetrics And Gynaecology Sub-Specialty: Delivery Suite/Labour Ward,10,65.22,0,0,0,0,4,,Resuscitator,HSSP-III
323,HSG set,HSG set,Medical Imaging,15,1500,0,0,0,1,5,,,HSSP-III
324,Urethrogram set,Urethrogram set,Medical Imaging,15,250,0,0,0,1,5,,,HSSP-III
325,Intravenous Pyrography set,Intravenous Pyelography set,Medical Imaging,15,200,0,0,0,1,5,,Intravenous,HSSP-III
326,Bone Densitometry,Bone Densitometry,Medical Imaging,15,28000,0,0,0,0,1,,,HSSP-III
327,Pulley System,Pulley System,Medical Imaging,15,150,0,0,0,0,5,,,HSSP-III
328,Vices,Vices,Prosthetics And Orthotics,15,25,0,0,0,0,18,,,HSSP-III
329,Steel rods,Steel rodes,Prosthetics And Orthotics,15,250,0,0,0,0,20,,,HSSP-III
330,Mixing bowls,Mixing bowls,Prosthetics And Orthotics,15,5.42,0,0,0,0,10,,,HSSP-III
331,Spatula,Spatular,Prosthetics And Orthotics,15,10,0,0,0,0,15,,,HSSP-III
332,Blades,Blades,Prosthetics And Orthotics,15,0.02,0,0,0,0,15,,,HSSP-III
333,Walking Frame,Walking Frame,Ocupational Therapy,15,300,0,0,0,4,28,,,HSSP-III
334,Sample Rack,Sample Rack,Laboratory,15,6.67,0,0,0,0,20,,,HSSP-III
335,Sample Rack,Sample Trays,Laboratory,15,25,0,0,0,0,30,,,HSSP-III
336,ELISA (automated),ELISA (automated),Laboratory,15,30000,0,0,0,0,1,,,HSSP-III
337,Motorcycle ambulance,,Plastic Surgery,15,,,,,,,This item is not costed in the SEL,,HSSP-III
338,ELISA Plate washer,ELISA Plate washer,Laboratory,15,1736.19,0,0,0,0,1,,,HSSP-III
339,ELISA Reader,ELISA Reader,Laboratory,15,6325,0,0,0,0,1,,,HSSP-III
340,Flow Cytometer,Flow Cytometer,Laboratory,5,500000,0,0,0,0,1,,Flow cytometer,HSSP-III
341,CD4 Point of Care,CD4 Point of Care,Laboratory,15,6095,0,0,0,0,1,,,HSSP-III
342,Adaptive communication switches (Infrared switches),Adaptive communication switches (Infrared swiches),Speech And Language Therapy,15,65,0,0,0,0,5,,,HSSP-III
343,Sound measuring apparatus/decibel meter,sound measuring apparatus/decibel meter,Speech And Language Therapy,15,48,0,0,0,0,5,,,HSSP-III
344,Diagnostic stroboscopes,Diagnostic stroboscopes,Speech And Language Therapy,10,1300,0,0,0,0,3,,Diagnostic set,HSSP-III
345,Computer set,"Computer, desktop with printer",Medical Imaging,15,2053.91,0,0,0,1,4,,,HSSP-III
346,Voice synthesizer,Voice synthesizer,Speech And Language Therapy,15,350,0,0,0,0,4,,,HSSP-III
347,Analytical software,Analytical software,Speech And Language Therapy,10,1000,0,0,0,0,1,,Analytical,HSSP-III
348,Medical software,Medical software,Speech And Language Therapy,15,,0,0,0,0,1,This item is not costed in the SEL,,HSSP-III
349,Office software,Office software,Opd,15,150,0,0,0,0,1,,,HSSP-III
350,"Speech therapy kit (Kazoo, toobaloo head set, toobaloo, pustefix bubble bear)","Speech therapy kit ( Kazoo, Toobaloo headset, Toobaloo, pustefix bubble bear)",Speech And Language Therapy,15,200,0,0,0,0,3,,,HSSP-III
351,Picture flash cards,Picture flash cards,Speech And Language Therapy,15,15,0,0,0,0,5,,,HSSP-III
352,Bed sheets,Large Bed Sheets,Obstetrics And Gynaecology,15,30,0,0,0,0,8,,,HSSP-III
353,Shelves,shelves,Central Sterilization,15,108,0,0,0,0,4,,,HSSP-III
354,Wiper holder,Wiper holder,Medical Imaging,15,65,0,0,0,0,4,,,HSSP-III
355,Static digital accessories,Static digital accessories,Medical Imaging,15,3500,0,1,0,1,0,,,HSSP-III
356,Radiation Survey meter,Radiaton Survey meter,Medical Imaging,8,500,0,1,0,1,0,,Radiation meter,HSSP-III
358,Static digital,Static digital,Medical Imaging,15,325000,0,0,0,1,0,,,HSSP-III
359,Lead glove protective x-ray pair,Glove protective x-ray pair,Medical Imaging,15,50,0,0,0,0,2,,,HSSP-III
360,Bed pans,Bed pans,Skin/ Dermatology,15,40.32,0,0,0,0,26,,,HSSP-III
361,Lead thyroid shield,Lead thyroid shield,Medical Imaging,15,115.85,0,0,0,2,0,,,HSSP-III
362,Lead google,Lead google,Medical Imaging,15,8.2,0,0,0,1,0,,,HSSP-III
364,Intravenous Pyelography set,Intravenous Pyelography set,Medical Imaging,15,200,0,0,0,1,5,,Intravenous,HSSP-III
365,Oxygen concentrator,Oxygen cylinder,Opd,15,250,0,0,0,0,14,,,HSSP-III
366,"Sterilizing unit, steam, non vacuum, vertical, electric, medium, 39 ltr","Sterilizing unit, steam, non vacuum, vertical, electric, medium, 39 ltr",Central Sterilisation,15,737.12,0,0,0,1,0,,"Sterilizer, built-in",HSSP-III
367,Resuscitaire,Rescucitaire,Dialysis,15,422.2,0,0,0,1,5,,,HSSP-III
368,Computer set,"Computer set, desktop",Laboratory,15,5706.424444,0,0,0,0,12,,,HSSP-III
369,Laptop,Laptop,Medical Imaging,3,1500,0,0,0,1,0,,Laptop,HSSP-III
370,Backsplit cotton gown,Backsplit cotton gown,Medical Imaging,15,15,0,0,0,200,0,,,HSSP-III
372,Sphygmomanometer,Sphygmomamometer,Rehabilitation,10,66.1,0,0,0,0,1,,Sphygmomanometer,HSSP-III
373,Exercise ball,Exercise ball,Physiotherapy,15,2500,0,0,0,8,15,,Small item,HSSP-III
374,Wobble board,wobble board,Rehabilitation,15,35,0,0,0,4,0,,,HSSP-III
375,Stationary bike,Stationery bicycles,Rehabilitation,15,440,0,0,0,3,5,,,HSSP-III
376,Paediatric mat,Paeditric mat,Occupational Therapy,15,25,0,0,0,10,0,,,HSSP-III
377,Mirror,Mirror,Prosthetics And Orthotics,10,30,0,0,0,4,4,,"Mirrors, traffic and/or wall mounted",HSSP-III
378,Tilt table,Tilt table,Rehabilitation,15,4000,0,0,0,1,0,,,HSSP-III
379,Overhead pulley,Overhead pulley,Rehabilitation,10,35,0,0,0,1,1,,Overhead doors,HSSP-III
380,Dumb bells (Sets of 0.5kg - 15kgs),Dumbells (Sets of 0.5kgs to 15kgs),Rehabilitation,15,250,0,0,0,2,5,,,HSSP-III
381,Training stairs,Training stairs,Rehabilitation,15,1300,0,0,0,1,0,,,HSSP-III
382,Interferential therapy machine,Interferential therapy machine,Rehabilitation,15,800,0,0,0,6,0,,,HSSP-III
383,Transcutaneous electrical neuromuscular stimulation,Transcutaneous electrical neuromascular stimulation,Rehabilitation,15,50,0,0,0,6,0,,,HSSP-III
384,Walking Frame,Walking Frame,Rehabilitation,15,300,0,0,0,4,28,,,HSSP-III
385,Lumber/Cervical Traction,Lumber/Cervical Traction,Rehabilitation,15,550,0,0,0,2,0,,,HSSP-III
386,Preacher's Table,Preacher's Table,Ocupational Therapy,15,25,0,0,0,5,12,,,HSSP-III
387,Exercise ball,Exercise ball,Rehabilitation,15,2500,0,0,0,8,15,,Exercise apparatus,HSSP-III
388,Patient Transfer Aid,Sara stedy Patient Transfer Aid,Rehabilitation,15,25,0,0,0,2,2,,,HSSP-III
389,Gym mat,Gym mat,Physiotherapy,15,200,0,0,0,10,20,,,HSSP-III
390,Development milestone charts,Development milestone charts,Rehabilitation,10,25,0,0,0,5,5,,Developing tank,HSSP-III
391,Wheelbarrows,Wedge pillow,Rehabilitation,15,50,0,0,0,15,0,,,HSSP-III
392,Pillow cases,Pillows,Obstetrics And Gynaecology,15,25,0,0,0,9,21,,,HSSP-III
393,Paediatric Standing frame,Paediatric Standing frame,Rehabilitation,15,1200,0,0,0,5,0,,,HSSP-III
394,Paediatric CP Chair,Paediatric CP Chair,Rehabilitation,15,250,0,0,0,5,0,,,HSSP-III
395,Paediatric Corner sit,Paediatric Corner sit,Nutritional Rehabilitation Unit,15,200,0,0,0,5,0,,,HSSP-III
396,Goniometer,Goniometer,Pediatrics,15,2500,0,0,0,10,20,,,HSSP-III
397,Bobath bed,Bobath beds,Physiotherapy,15,13000,0,0,0,5,9,,,HSSP-III
399,Walking Cane,Walking cane,Physiotherapy,15,25,0,0,0,8,5,,,HSSP-III
400,Knee continuous passive motion machine,Knee continous passive motion machine,Rehabilitation,15,8805.89,0,0,0,2,0,,,HSSP-III
401,Shoulder wheel,shoulder wheel,Rehabilitation,20,0,0,0,0,1,0,,Shoulder wheel,HSSP-III
40,"Bucket,10L",10 L buckets,,15,150.29,4,0,0,0,0,,,HSSP-III
57,"Trolley, laundry/instrument",Instrument Trolley,,15,195.65,0,0,0,0,4,,Instrument,HSSP-III
81,UPS (uninterruptible power supply),UPS,,15,1639.56,0,1,1,2,0,,,HSSP-III
233,Slide Dryer/Warmer,Large Slide Warmers,,15,200,0,0,0,0,2,,,HSSP-III
357,Quality control kit (radiology),Quality control kit,,15,,0,1,0,1,0,This item is not costed in the SEL,,HSSP-III
363,exer,,,15,,,,,,,This item is not costed in the SEL,,HSSP-III
