TLO_Sequela_Code,Sequela,Health state name,Health state lay description,disability weight,lower,uppper
242,Mild chronic digestive disease due to Chagas disease,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011,0.005,0.021
243,Acute Chagas disease,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
244,Severe heart failure due to Chagas disease,"Heart failure, severe","is short of breath and feels tired when at rest. The person avoids any physical activity, for fear of worsening the breathing problems. ",0.179,0.122,0.251
245,Asymptomatic Chagas disease,Asymptomatic,--,,,
246,Moderate chronic digestive disease due to Chagas disease,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114,0.078,0.159
247,Moderate visceral leishmaniasis,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
248,Severe visceral leishmaniasis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
249,Cutaneous and mucocutaneous leishmaniasis,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.",0.067,0.044,0.096
250,Sleeping sickness due to Trypanosoma brucei rhodesiense,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.027,0.015,0.042
251,Skin disfigurement due to Trypanosoma brucei gambiense,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.027,0.015,0.042
252,Skin disfigurement due to Trypanosoma brucei rhodesiense,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.",0.542,0.374,0.702
253,Sleeping sickness due to Trypanosoma brucei gambiense,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.",0.542,0.374,0.702
254,Mild diarrhea due to schistosomiasis,"Diarrhea, mild",has diarrhea three or more times a day with occasional discomfort in the belly.,0.074,0.049,0.104
255,Severe anemia due to schistosomiasis,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.149,0.101,0.209
256,Hematemesis due to schistosomiasis,Gastric bleeding,vomits blood and feels nauseous.,0.325,0.209,0.462
257,Hepatomegaly due to schistosomiasis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011,0.005,0.021
258,Moderate anemia due to schistosomiasis,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.052,0.034,0.076
259,Mild anemia due to schistosomiasis,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.004,0.001,0.008
260,Hydronephrosis due to schistosomiasis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011,0.005,0.021
261,Ascites due to schistosomiasis,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114,0.078,0.159
262,Mild schistosomiasis,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.006,0.002,0.012
263,Dysuria due to schistosomiasis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011,0.005,0.021
264,Bladder pathology due to schistosomiasis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011,0.005,0.021
265,Neurocysticercosis with epilepsy,Epilepsy,(combined DW),,,
266,Abdominal problems due to cystic echinococcosis,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114,0.078,0.159
267,Epilepsy due to echinococcosis,Epilepsy,(combined DW),,,
268,Chronic respiratory disease due to cystic echinococcosis,"COPD and other chronic respiratory problems, mild","has cough and shortness of breath after heavy physical activity, but is able to walk long distances and climb stairs.",0.019,0.011,0.033
269,Lymphedema due to lymphatic filariasis,"Lymphatic filariasis, symptomatic","has swollen legs with hard and thick skin, which causes difficulty in moving around.",0.109,0.073,0.154
270,Hydrocele due to lymphatic filariasis,Epididymo-orchitis,has swelling and tenderness in the testicles and pain during urination. ,0.128,0.086,0.18
271,Acute adenolymphangitis due to lymphatic filariasis,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
272,Prevalence of detectable microfiliaria due to lymphatic filariasis,Asymptomatic,--,,,
273,Mild skin disease due to onchocerciasis,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.027,0.015,0.042
274,Severe vision impairment due to onchocerciasis,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.",0.184,0.125,0.258
275,Moderate vision impairment due to onchocerciasis,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,0.031,0.019,0.049
276,Asymptomatic onchocerciasis,Asymptomatic,--,,,
277,Severe skin disease without itch due to onchocerciasis,"Disfigurement, level 3","has an obvious physical deformity that makes others uncomfortable, which causes the person to avoid social contact, feel worried, sleep poorly, and think about suicide.",0.405,0.275,0.546
278,Severe skin disease due to onchocerciasis,"Disfigurement, level 2, with itch/pain","has a visible physical deformity that is sore and itchy. Other people stare and comment, which causes the person to worry. The person has trouble sleeping and concentrating.",0.188,0.125,0.267
279,Blindness due to onchocerciasis,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ",0.187,0.124,0.26
280,Mild skin disease without itch due to onchocerciasis,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011,0.005,0.021
281,Moderate skin disease due to onchocerciasis,"Disfigurement, level 2, with itch/pain","has a visible physical deformity that is sore and itchy. Other people stare and comment, which causes the person to worry. The person has trouble sleeping and concentrating.",0.188,0.125,0.267
282,Blindness due to trachoma,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ",0.187,0.124,0.26
283,Severe vision impairment due to trachoma,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.",0.184,0.125,0.258
284,Moderate vision impairment due to trachoma,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,0.031,0.019,0.049
285,Severe dengue,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
286,Post-dengue chronic fatigue syndrome,"Infectious disease, post-acute consequences (fatigue, emotional lability, insomnia)",is always tired and easily upset. The person feels pain all over the body and is depressed.,0.219,0.148,0.308
287,Moderate dengue,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
288,Asymptomatic yellow fever,Asymptomatic,--,,,
289,Moderate yellow fever,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
290,Severe yellow fever,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
291,Rabies,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
292,Severe wasting due to ascariasis,Severe wasting,is extremely skinny and has no energy. ,0.128,0.082,0.183
293,Asymptomatic ascariasis,Asymptomatic,--,,,
294,Heavy infestation of ascariasis,"Intestinal nematode infections, symptomatic",has cramping pain and a bloated feeling in the belly.,0.027,0.015,0.043
295,Mild abdominopelvic problems due to ascariasis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011,0.005,0.021
296,Heavy infestation of trichuriasis,"Intestinal nematode infections, symptomatic",has cramping pain and a bloated feeling in the belly.,0.027,0.015,0.043
297,Severe wasting due to trichuriasis,Severe wasting,is extremely skinny and has no energy. ,0.128,0.082,0.183
298,Mild abdominopelvic problems due to trichuriasis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011,0.005,0.021
299,Asymptomatic trichuriasis,Asymptomatic,--,,,
300,Mild anemia due to hookworm disease,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.004,0.001,0.008
301,Severe anemia due to hookworm disease,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.149,0.101,0.209
302,Asymptomatic hookworm disease,Asymptomatic,--,,,
303,Mild abdominopelvic problems due to hookworm disease,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011,0.005,0.021
304,Severe wasting due to hookworm disease,Severe wasting,is extremely skinny and has no energy. ,0.128,0.082,0.183
305,Heavy infestation of hookworm,"Intestinal nematode infections, symptomatic",has cramping pain and a bloated feeling in the belly.,0.027,0.015,0.043
306,Moderate anemia due to hookworm disease,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.052,0.034,0.076
307,Asymptomatic fascioliasis,Asymptomatic,--,,,
308,Heavy clonorchiasis due to food-borne trematodiases,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114,0.078,0.159
309,Heavy fascioliasis due to food-borne trematodiases,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114,0.078,0.159
310,Heavy intestinal fluke infection due to food-borne trematodiases,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114,0.078,0.159
311,Asymptomatic opisthorchiasis,Asymptomatic,--,,,
312,Asymptomatic intestinal fluke infection,Asymptomatic,--,,,
313,Cerebral paragonimiasis,Epilepsy,(combined DW),,,
314,Asymptomatic paragonimiasis,Asymptomatic,--,,,
315,Moderate paragonimiasis due to food-borne trematodiases,"COPD and other chronic respiratory problems, moderate","has cough, wheezing and shortness of breath, even after light physical activity. The person feels tired and can walk only short distances or climb only a few stairs.",0.225,0.153,0.31
316,Severe paragonimiasis due to food-borne trematodiases,"COPD and other chronic respiratory problems, severe","has cough, wheezing and shortness of breath all the time. The person has great difficulty walking even short distances or climbing any stairs, feels tired when at rest, and is anxious.",0.408,0.273,0.556
317,Mild paragonimiasis due to food-borne trematodiases,"COPD and other chronic respiratory problems, mild","has cough and shortness of breath after heavy physical activity, but is able to walk long distances and climb stairs.",0.019,0.011,0.033
318,Heavy opisthorchiasis due to food-borne trematodiases,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114,0.078,0.159
319,Asymptomatic clonorchiasis,Asymptomatic,--,,,
320,Disfigurement level 2 due to leprosy,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.",0.067,0.044,0.096
321,Disfigurement level 1 due to leprosy,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011,0.005,0.021
322,Post-Ebola chronic fatigue syndrome,"Infectious disease, post-acute consequences (fatigue, emotional lability, insomnia)",is always tired and easily upset. The person feels pain all over the body and is depressed.,0.219,0.148,0.308
323,Ebola cases,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
324,Guillain–Barré syndrome due to Zika infection,Spinal cord lesion below neck level (treated),"is paralyzed from the waist down, cannot feel or move the legs and has difficulties with urine and bowel control. The person uses a wheelchair to move around.",0.296,0.198,0.414
325,Asymptomatic Zika infection,Asymptomatic,--,,,
326,Acute Zika infection,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
327,Congenital Zika syndrome,Severe motor plus cognitive impairment with epilepsy,(combined DW),,,
328,Mild pain due to Guinea worm emergence,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.027,0.015,0.042
329,Moderate pain due to Guinea worm emergence,"Disfigurement, level 2, with itch/pain","has a visible physical deformity that is sore and itchy. Other people stare and comment, which causes the person to worry. The person has trouble sleeping and concentrating.",0.188,0.125,0.267
330,Moderate reduced mobility due to Guinea worm emergence,"Musculoskeletal problems, lower limbs, moderate","has moderate pain in the leg, which makes the person limp, and causes some difficulty walking, standing, lifting and carrying heavy things, getting up and down and sleeping.",0.079,0.054,0.11
331,Mild anemia due to other neglected tropical diseases,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.004,0.001,0.008
332,Moderate anemia due to other neglected tropical diseases,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.052,0.034,0.076
333,Acute infection due to other neglected tropical diseases,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",--,,,
334,Severe anemia due to other neglected tropical diseases,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.149,0.101,0.209
335,Mild anemia due to maternal hemorrhage,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.004,0.001,0.008
336,Moderate anemia due to maternal hemorrhage,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.052,0.034,0.076
337,Severe anemia due to maternal hemorrhage,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.149,0.101,0.209
338,Maternal hemorrhage (> 1L blood lost),"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,0.324,0.22,0.442
339,Maternal hemorrhage (< 1L blood lost),"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114,0.078,0.159
340,Puerperal sepsis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
341,Other maternal infections,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
342,Infertility due to puerperal sepsis,"Infertility, secondary","has at least one child, and wants to have more children. The person has a fertile partner, but the couple cannot conceive. ",0.005,0.002,0.011
343,Other hypertensive disorders of pregnancy,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
344,Long term sequelae of severe pre-eclampsia,"Tension-type headaches, mild motor plus cognitive impairment",(combined DW),,,
345,Long term sequelae of eclampsia,"Tension-type headaches, mild motor plus cognitive impairment",(combined DW),,,
346,Severe pre-eclampsia,"Moderate abdominal pain, tension-type headaches, mild motor plus cognitive impairment",(combined DW),,,
347,Eclampsia,Moderate abdominal pain and severe epilepsy,(combined DW),,,
348,"Obstructed labor, acute event","Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,0.324,0.22,0.442
349,Vesicovaginal fistula,Vesicovaginal fistula,"has an abnormal opening between the bladder and the vagina, which makes her unable to control urinating. The woman is anxious and depressed.",0.342,0.227,0.478
350,Rectovaginal fistula,Rectovaginal fistula,"has an abnormal opening between her vagina and rectum causing flatulence and feces to escape through the vagina. The person gets infections in her vagina, and has pain when urinating. ",0.501,0.339,0.657
351,Ectopic Pregnancy,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114,0.078,0.159
352,Maternal abortive outcome,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114,0.078,0.159
353,Other maternal disorders,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",--,,,
354,Severe motor plus cognitive impairment with epilepsy due to neonatal preterm birth complications <28wks,Severe motor plus cognitive impairment with epilepsy,(combined DW),,,
355,Severe motor plus cognitive impairment with epilepsy due to neonatal preterm birth complications 32-36wks,Severe motor plus cognitive impairment with epilepsy,(combined DW),,,
356,Severe motor plus cognitive impairment with epilepsy due to neonatal preterm birth complications 28-32wks,Severe motor plus cognitive impairment with epilepsy,(combined DW),,,
357,Mild motor plus cognitive impairments due to neonatal preterm birth complications <28wks,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.031,0.018,0.05
358,Severe motor plus cognitive impairment with blindness and epilepsy due to neonatal preterm birth complications <28wks,Severe motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
359,Mild motor plus cognitive impairments due to neonatal preterm birth complications 32-36wks,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.031,0.018,0.05
360,Severe motor plus cognitive impairment with blindness due to neonatal preterm birth complications <28wks,Severe motor plus cognitive impairment with blindness,(combined DW),,,
361,Moderate motor plus cognitive impairment with blindness and epilepsy due to neonatal preterm birth complications <28wks,Moderate motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
362,Moderate motor plus cognitive impairment with blindness and epilepsy due to neonatal preterm birth complications 32-36wks,Moderate motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
363,Severe motor plus cognitive impairment with blindness and epilepsy due to neonatal preterm birth complications 28-32wks,Severe motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
364,Mild motor plus cognitive impairments due to neonatal preterm birth complications 28-32wks,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.031,0.018,0.05
365,Severe motor impairment with epilepsy due to neonatal preterm birth complications 32-36wks,Severe motor impairment with epilepsy,(combined DW),,,
366,Severe motor impairment due to neonatal preterm birth complications 32-36wks,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ",0.402,0.268,0.545
367,Severe motor plus cognitive impairment with blindness due to neonatal preterm birth complications 32-36wks,Severe motor plus cognitive impairment with blindness,(combined DW),,,
368,Severe motor impairment with epilepsy due to neonatal preterm birth complications <28wks,Severe motor impairment with epilepsy,(combined DW),,,
369,Severe motor impairment with blindness due to neonatal preterm birth complications 32-36wks,Severe motor impairment with blindness,(combined DW),,,
370,Severe motor impairment with epilepsy due to neonatal preterm birth complications 28-32wks,Severe motor impairment with epilepsy,(combined DW),,,
371,Mild motor impairment due to neonatal preterm birth complications <28wks,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,0.01,0.005,0.019
372,Mild motor impairment due to neonatal preterm birth complications 28-32wks,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,0.01,0.005,0.019
373,Mild motor impairment due to neonatal preterm birth complications 32-36wks,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,0.01,0.005,0.019
374,Severe motor impairment with blindness due to neonatal preterm birth complications <28wks,Severe motor impairment with blindness,(combined DW),,,
375,Severe motor impairment due to neonatal preterm birth complications 28-32wks,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ",0.402,0.268,0.545
376,Severe motor impairment with blindness and epilepsy due to neonatal preterm birth complications <28wks,Severe motor impairment with blindness and epilepsy,(combined DW),,,
377,Moderate motor impairment due to neonatal preterm birth complications 28-32wks,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.",0.061,0.04,0.089
378,Moderate motor impairment due to neonatal preterm birth complications <28wks,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.",0.061,0.04,0.089
379,Moderate motor impairment due to neonatal preterm birth complications 32-36wks,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.",0.061,0.04,0.089
380,Severe motor impairment with blindness due to neonatal preterm birth complications 28-32wks,Severe motor impairment with blindness,(combined DW),,,
381,Severe motor impairment with blindness and epilepsy due to neonatal preterm birth complications 32-36wks,Severe motor impairment with blindness and epilepsy,(combined DW),,,
382,Severe motor plus cognitive impairment with blindness due to neonatal preterm birth complications 28-32wks,Severe motor plus cognitive impairment with blindness,(combined DW),,,
383,Severe motor impairment due to neonatal preterm birth complications <28wks,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ",0.402,0.268,0.545
384,Severe motor impairment with blindness and epilepsy due to neonatal preterm birth complications 28-32wks,Severe motor impairment with blindness and epilepsy,(combined DW),,,
385,Moderate motor plus cognitive impairment with epilepsy due to neonatal preterm birth complications 28-32wks,Moderate motor plus cognitive impairment with epilepsy,(combined DW),,,
386,Blindness due to retinopathy of prematurity,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ",0.187,0.124,0.26
387,Severe motor plus cognitive impairment with blindness and epilepsy due to neonatal preterm birth complications 32-36wks,Severe motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
388,Moderate motor impairment with blindness and epilepsy due to neonatal preterm birth complications 32-36wks,Moderate motor impairment with blindness and epilepsy,(combined DW),,,
389,Moderate motor impairment with blindness and epilepsy due to neonatal preterm birth complications 28-32wks,Moderate motor impairment with blindness and epilepsy,(combined DW),,,
390,Moderate motor impairment with epilepsy due to neonatal preterm birth complications <28wks,Moderate motor impairment with epilepsy,(combined DW),,,
391,Moderate motor impairment with epilepsy due to neonatal preterm birth complications 28-32wks,Moderate motor impairment with epilepsy,(combined DW),,,
392,Moderate motor impairment with blindness and epilepsy due to neonatal preterm birth complications <28wks,Moderate motor impairment with blindness and epilepsy,(combined DW),,,
393,Moderate motor impairment with epilepsy due to neonatal preterm birth complications 32-36wks,Moderate motor impairment with epilepsy,(combined DW),,,
394,Moderate motor plus cognitive impairment with blindness due to neonatal preterm birth complications 28-32wks,Moderate motor plus cognitive impairment with blindness,(combined DW),,,
395,Moderate motor impairment with blindness due to neonatal preterm birth complications 32-36wks,Moderate motor impairment with blindness,(combined DW),,,
396,Moderate motor impairment with blindness due to neonatal preterm birth complications 28-32wks,Moderate motor impairment with blindness,(combined DW),,,
397,Moderate motor impairment with blindness due to neonatal preterm birth complications <28wks,Moderate motor impairment with blindness,(combined DW),,,
398,Moderate motor plus cognitive impairment with blindness due to neonatal preterm birth complications <28wks,Moderate motor plus cognitive impairment with blindness,(combined DW),,,
399,Moderate motor plus cognitive impairment with blindness due to neonatal preterm birth complications 32-36wks,Moderate motor plus cognitive impairment with blindness,(combined DW),,,
400,Asymptomatic neonatal preterm birth 32-<37wks,Asymptomatic,--,,,
401,Moderate motor plus cognitive impairment with blindness and epilepsy due to neonatal preterm birth complications 28-32wks,Moderate motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
402,Severe vision impairment due to retinopathy of prematurity,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.",0.184,0.125,0.258
403,Moderate motor plus cognitive impairment with epilepsy due to neonatal preterm birth complications <28wks,Moderate motor plus cognitive impairment with epilepsy,(combined DW),,,
404,Mild vision impairment due to retinopathy of prematurity,"Distance vision, mild impairment","has some difficulty with distance vision, for example reading signs, but no other problems with eyesight.",0.003,0.001,0.007
405,Moderate vision impairment due to retinopathy of prematurity,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,0.031,0.019,0.049
406,Moderate motor plus cognitive impairment with epilepsy due to neonatal preterm birth complications 32-36wks,Moderate motor plus cognitive impairment with epilepsy,(combined DW),,,
407,Asymptomatic neonatla preterm birth <28wks,Asymptomatic,--,,,
408,Asymptomatic neonatal preterm birth 28-<32 wks,Asymptomatic,--,,,
409,Asymptomatic retinopathy of prematurity,Asymptomatic,--,,,
410,Severe motor impairment due to neonatal encephalopathy due to birth asphyxia and trauma,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ",0.402,0.268,0.545
411,Moderate motor impairment due to neonatal encephalopathy due to birth asphyxia and trauma,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.",0.061,0.04,0.089
412,Moderate motor impairment with blindness due to neonatal encephalopathy due to birth asphyxia and trauma,Moderate motor impairment with blindness,(combined DW),,,
413,Severe motor plus cognitive impairment with epilepsy due to neonatal encephalopathy due to birth asphyxia and trauma,Severe motor plus cognitive impairment with epilepsy,(combined DW),,,
414,Moderate motor impairment with epilepsy due to neonatal encephalopathy due to birth asphyxia and trauma,Moderate motor impairment with epilepsy,(combined DW),,,
415,Moderate motor plus cognitive impairment with blindness and epilepsy due to neonatal encephalopathy due to birth asphyxia and trauma,Moderate motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
416,Mild motor impairment due to neonatal encephalopathy due to birth asphyxia and trauma,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,0.01,0.005,0.019
417,Moderate motor plus cognitive impairment with epilepsy due to neonatal encephalopathy due to birth asphyxia and trauma,Moderate motor plus cognitive impairment with epilepsy,(combined DW),,,
418,Severe motor impairment with blindness and epilepsy due to neonatal encephalopathy due to birth asphyxia and trauma,Severe motor impairment with blindness and epilepsy,(combined DW),,,
419,Mild motor plus cognitive impairments due to neonatal encephalopathy due to birth asphyxia and trauma,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.031,0.018,0.05
420,Severe motor plus cognitive impairment with blindness and epilepsy due to neonatal encephalopathy due to birth asphyxia and trauma,Severe motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
421,Moderate motor impairment with blindness and epilepsy due to neonatal encephalopathy due to birth asphyxia and trauma,Moderate motor impairment with blindness and epilepsy,(combined DW),,,
422,Asymptomatic neonatal encephalopathy due to birth asphyxia and trauma ,Asymptomatic,--,,,
423,Moderate motor plus cognitive impairment with blindness due to neonatal encephalopathy due to birth asphyxia and trauma,Moderate motor plus cognitive impairment with blindness,(combined DW),,,
424,Severe motor impairment with epilepsy due to neonatal encephalopathy due to birth asphyxia and trauma,Severe motor impairment with epilepsy,(combined DW),,,
425,Severe motor plus cognitive impairment with blindness due to neonatal encephalopathy due to birth asphyxia and trauma,Severe motor plus cognitive impairment with blindness,(combined DW),,,
426,Severe motor impairment with blindness due to neonatal encephalopathy due to birth asphyxia and trauma ,Severe motor impairment with blindness,(combined DW),,,
427,Moderate motor impairment with epilepsy due to neonatal sepsis and other neonatal infections,Moderate motor impairment with epilepsy,(combined DW),,,
428,Moderate motor plus cognitive impairment with epilepsy due to neonatal sepsis and other neonatal infections,Moderate motor plus cognitive impairment with epilepsy,(combined DW),,,
429,Severe motor impairment with blindness due to neonatal sepsis and other neonatal infections  ,Severe motor impairment with blindness,(combined DW),,,
430,Severe motor plus cognitive impairment with blindness and epilepsy due to neonatal sepsis and other neonatal infections,Severe motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
431,Mild motor impairment due to neonatal sepsis and other neonatal infections,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,0.01,0.005,0.019
432,Severe motor impairment with epilepsy due to neonatal sepsis and other neonatal infections,Severe motor impairment with epilepsy,(combined DW),,,
433,Asymptomatic neonatal sepsis and other neonatal infections,Asymptomatic,--,,,
